"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start"
"1",1,36241.98279,0,1,0,0,0,0,0,0,0,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"2",2,36241.3604887063,0.512456705301347,0.777051108552764,0.00897508894075674,0.000108438908670338,0.323708564740521,1.38721573319174e-06,0.622301293659792,0.00957287200368681,0.000110787599530271,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"3",3,36240.8206482617,0.79640103592534,0.744247419876382,0.0157235767858026,0.000382206761795878,0.605377482187757,1.00167570881992e-05,1.16214173829417,0.0178773804340315,0.000399166103631693,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"4",4,36240.2700400954,1.00022344992847,0.796570499009355,0.021844026070476,0.000781930160324973,0.893298854377977,3.11450727166461e-05,1.71274990461932,0.0263476590042372,0.000834661790936759,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"5",5,36239.6644941503,1.18540745470516,0.893084133176704,0.028044629321036,0.00129490726168809,1.21039559026979,6.91350237258135e-05,2.3182958497581,0.0356632212731351,0.00141195956612847,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"6",6,36238.9785628649,1.37874992038419,1.01882772016355,0.0346824256430376,0.00192051457606787,1.56991842384454,0.000128130503936509,3.00422713511533,0.046215598861084,0.00213745195377612,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"7",7,36238.1931666716,1.59340579072288,1.16951911924335,0.0419815829819115,0.00266442818454368,1.98184002803056,0.000212379203692247,3.78962332836693,0.0582983914250753,0.0030240067869317,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"8",8,36237.2904484783,1.83740011905046,1.34543616527208,0.0501227692169808,0.00353641806937918,2.45551963239021,0.000326417720970521,4.69234152172008,0.0721864275833034,0.00408907494849313,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"9",9,36236.2514996135,2.11710886553011,1.54899341462373,0.0592809009787733,0.00454960929594358,3.00088238980262,0.000475206294933536,5.7312903865261,0.0881707581129839,0.00535417967010224,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"10",10,36235.0552120434,2.4387207650066,1.78381371252106,0.06964233099076,0.00572036765483024,3.62901653104006,0.000664249384945117,6.92757795659825,0.106576327799292,0.00684500632624073,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"11",11,36233.677550267,2.80889574032555,2.05440779560591,0.0814140238434932,0.0070684723963101,4.35255398333391,0.000899717522098985,8.30523973302728,0.127773196422509,0.00859178147514612,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"12",12,36232.0909467715,3.23511517774415,2.36610431123347,0.0948298904552782,0.00861744723697921,5.18598782248321,0.00118857938838692,9.89184322854148,0.152185865865173,0.0106298274883088,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"13",13,36230.2637059201,3.72591466389686,2.72509314220846,0.110156277930562,0.0103950018612965,6.14598624611723,0.0015387478648219,11.7190840798792,0.18030248643459,0.0130002513256555,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"14",14,36228.1593540839,4.29108826381021,3.13852178037838,0.127697605003945,0.0124335707815822,7.25173545160943,0.00195924447555419,13.8234359160591,0.212684902151007,0.015750761815395,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"15",15,36225.7359194544,4.94189250097497,3.61462419863958,0.147802436763602,0.014770941905457,8.52532008452438,0.00246038278725387,16.2468705455952,0.249979792521465,0.0189366087344102,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"16",16,36222.9450787649,5.69127846136951,4.16288269053907,0.170870597914951,0.0174510201726217,9.99217448003884,0.00305398505754691,19.0377112350925,0.292931885403453,0.0226217132518646,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"17",17,36219.7312259632,6.55413992639585,4.79420915591707,0.19736088439091,0.0205246754756687,11.6815757769762,0.00375361765929297,22.2515640368149,0.342398394518886,0.0268799144461632,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"18",18,36216.0303670853,7.54760906821265,5.521158302447,0.227800213058074,0.02405075467944,13.6272297071311,0.00457486915212315,25.9524229146804,0.399366170105833,0.0317964521264098,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"19",19,36211.7688646075,8.69138729719485,6.35817402262208,0.262793975927794,0.0280972448585353,15.8679371858946,0.00553566599869154,30.2139253924966,0.464971213916536,0.0374696646081675,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"20",20,36206.8620060613,10.008122998602,7.32186850654789,0.303037847400929,0.0327426055857409,18.448355348516,0.00665663200836867,35.1207839386609,0.540520958880809,0.0440129295749438,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"21",21,36201.2123446357,11.5238504539342,8.43134309272953,0.349331485268621,0.0380773204240229,21.419881507073,0.00796150489152891,40.7704453643209,0.627520147031027,0.0515569208370169,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"22",22,36194.7078142203,13.2684812543286,9.70855774718425,0.402594061910606,0.0442056736063347,24.8416594313882,0.00947761129120289,47.2749757797092,0.727700286905984,0.0602521892859302,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"23",23,36187.2195663404,15.2763689601858,11.1787514181948,0.463882117201505,0.0512477965856439,28.7817369542701,0.0112364131418145,54.7632236595796,0.843053540428656,0.0702721344828838,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"24",24,36178.599493295,17.5869579488829,12.8709172988658,0.534410054477073,0.0593420186471293,33.318395248961,0.0132741352042449,63.3832967050382,0.975871635079488,0.0818164177486937,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"25",25,36168.6774056137,20.2455092589989,14.8183527755325,0.61557346395171,0.0686475700362515,38.5416688319972,0.0156324857387921,73.3053843862554,1.12879035647638,0.095114885461122,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"26",26,36157.2578160048,23.3039239188478,17.0592830418021,0.708975750084716,0.0793476789580037,44.5550841224956,0.0183594830340598,84.7249739952223,1.30484043718818,0.110432065447747,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"27",27,36144.1162612746,26.8216905662857,19.637559302363,0.816458729788458,0.0916531246532238,51.4776565958611,0.0215104064737527,97.8665287254253,1.50750601499279,0.128072330310659,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"28",28,36128.9951366734,30.8669362258906,22.6034598664161,0.940137283367931,0.105806305114589,59.4461647593662,0.0251488864688771,112.987653326624,1.74079118934837,0.148385810503439,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"29",29,36111.5989744401,35.5175967976147,26.0146024775324,1.08243868903854,0.122085895661583,68.6177435444237,0.0293481555991331,130.38381555987,2.00929592230816,0.171775171209929,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"30",30,36091.5890832469,40.8627581007757,29.9369471332102,1.24614761668153,0.140812162390882,79.1728492562069,0.0341924838768076,150.393706753142,2.31830281428084,0.198703355835667,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"31",31,36068.5775095521,47.0041329159444,34.4459307163842,1.43445694130427,0.162353029230851,91.3186280212974,0.0397788237242799,173.405280447885,2.67387568160851,0.229702438168945,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"32",32,36042.1202717302,54.0576536578806,39.6277618441866,1.65102473687939,0.187131001393368,105.29272833561,0.0462186938678408,199.862518269817,3.0829711180662,0.265383735447689,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"33",33,36011.7097530957,62.1552732870461,45.5808168695175,1.90003902894858,0.215631023246575,121.367636359336,0.0536403362492659,230.273036904344,3.5535653512001,0.306449318092826,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"34",34,35976.7662212146,71.4469310576154,52.4171705083475,2.18629053190895,0.248409393479729,139.855576111419,0.0621911825935025,265.216568785364,4.09479761711691,0.353705101011597,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
"35",35,35936.6284914579,82.1025638575641,60.264339670408,2.51525285446252,0.286103886438039,161.113997602464,0.0720406707514178,305.354298542088,4.71713070702223,0.408075733273982,"Malawi","Nkhotakota","TA Mphonde","84",36242.98279,54
