"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start"
"1",1,56851.0085,0,1,0,0,0,0,0,0,0,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"2",2,56850.3861902465,0.51246379996693,0.777052314016612,0.00951624885853643,0.000112307637080119,0.323163646700445,1.43630975927734e-06,0.622309753489363,0.0101500755498208,0.000114740120936198,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"3",3,56849.8463376829,0.796416053157584,0.744251804895804,0.0166716674045466,0.000395842881478903,0.604416577509803,1.03712579123682e-05,1.16216231710713,0.0189553373753111,0.000413407280297555,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"4",4,56849.2957112315,1.00024905459611,0.796579982127893,0.023161221843969,0.000809828351385662,0.891956434267263,3.22473442510229e-05,1.71278876853088,0.0279364127638946,0.000864441323124786,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"5",5,56848.6901376545,1.18544812039016,0.893101177874621,0.0297358241599333,0.00134111011241054,1.20866453109203,7.15818895895436e-05,2.31836234551875,0.0378138119345314,0.00146233869119693,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"6",6,56848.0041652781,1.37881213684543,1.0188557640825,0.0367740663329234,0.00198904390427985,1.56777104518918,0.00013266554461701,3.00433472189893,0.0490027082262217,0.0022137216198314,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"7",7,56847.2187090227,1.59349859561358,1.16956298900823,0.0445136677684543,0.00275951034993861,1.97923631808187,0.000219896494163368,3.78979097731623,0.061814451999258,0.00313191934361552,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"8",8,56846.3159043194,1.8375359319224,1.34550258022417,0.053146238854145,0.00366263082382194,2.45241032663497,0.00033797214433034,4.69259568060384,0.0765405098915367,0.00423500859928289,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"9",9,56845.2768323417,2.1173046530851,1.54909165055234,0.0628573106198211,0.0047120025825471,2.99721001276374,0.000492028659022702,5.73166765826257,0.0934895747296955,0.0055452850705831,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"10",10,56844.0803712879,2.43899961634285,1.78395649289608,0.0738445647344969,0.00592458073695954,3.62471569148949,0.000687765854134426,6.92812871205401,0.1130063119582,0.0070893568767431,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"11",11,56842.7024670388,2.80928897746041,2.05461248672426,0.0863275710548859,0.00732085769469221,4.34755149484585,0.000931573426883014,8.30603296120697,0.135483269343634,0.00889853779260189,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"12",12,56841.1155269623,3.23566517405353,2.36639452630793,0.100554515442666,0.00892520670786036,5.18020294743764,0.00123066779780621,9.89297303774743,0.161370782752244,0.0110094225471138,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"13",13,56839.2878215974,3.7266786079719,2.7255008861266,0.116808035980812,0.0107663401059031,6.139331289019,0.00159324344828076,11.7206784026525,0.191186759459325,0.0134646013561064,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"14",14,56837.1828318284,4.29214318511515,3.13909032086214,0.135411218856159,0.0128778687106283,7.24411693471252,0.00202864335163613,13.8256681716082,0.225527358683355,0.0163135079734849,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"15",15,56834.7585249401,4.9433419145481,3.615411864846,0.156734065429435,0.0152989544723861,8.51664071159713,0.00254754905467433,16.2499750599477,0.265078842098144,0.0196133942428037,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"16",16,56831.9664958669,5.6932613306342,4.16396799570052,0.181201073002976,0.0180751038843562,9.98233642457319,0.00316220533555921,19.0420041331308,0.310631639175556,0.02343050398428,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"17",17,56828.7510292292,6.55684245083674,4.79569758094891,0.209299457439687,0.021259049102804,11.6704855681596,0.00388666430932156,22.257470770797,0.363095720806998,0.0278413675235746,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"18",18,56825.0479849109,7.55128044893097,5.52319132140456,0.241588919978346,0.0249118002937862,13.6148055246201,0.0047370738841361,25.9605150891119,0.423518877893698,0.0329343425579375,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"19",19,56820.7835299481,8.69636076652765,6.36094116728358,0.278712713574621,0.0291038561476813,15.8541195429614,0.00573200541374764,30.2249700519087,0.493107539876071,0.0388113795713994,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"20",20,56815.8726918194,10.0148433821565,7.32562330616728,0.321410267844583,0.0339165904008193,18.4331218073789,0.00689282662992557,35.135808180578,0.573250547739888,0.0455900399417336,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"21",21,56810.2176766977,11.532911259185,8.43642428640318,0.370531875415272,0.0394438691309894,21.4032678778141,0.00824413436228065,40.7908233023108,0.665546822556839,0.0534058460750751,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"22",22,56803.7059562175,13.2806738058275,9.71541737847058,0.427055358544098,0.0457939036544099,24.8237890880109,0.00981424801039015,47.3025437825179,0.771836884116286,0.0624149700299826,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
"23",23,56796.2080670657,15.2927469040785,11.1879925872027,0.492105257068148,0.0530913875414458,28.7628610209458,0.0116357774473476,54.8004329342839,0.894239156691754,0.0727973323146988,"Malawi","Kasungu","STA M'nyanja","70",56852.0085,93
