"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start"
"1",1,44043.33732,0,1,0,0,0,0,0,0,0,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"2",2,44042.9774223523,0.295859481389457,0.736849721190584,0.00939529902110605,0.000113381821732974,0.317678310167542,1.45408036215356e-06,0.359897647670784,0.0100266427846697,0.000115846170629226,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"3",3,44042.6932880531,0.436005556360233,0.622525228229588,0.0157194923478801,0.000390376465001572,0.56938094141352,1.03520822993903e-05,0.644031946898522,0.0179425988067828,0.000407920985409396,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"4",4,44042.4413253344,0.505447398459297,0.575979882308023,0.0204658017098854,0.000771652443483026,0.79329841250474,3.15182178224374e-05,0.895994665643251,0.0249623002118195,0.000825068944609234,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"5",5,44042.2016684134,0.542843789097048,0.560360512533852,0.0243356882830808,0.00122464484284391,1.00681880934349,6.81425048976139e-05,1.13565158660521,0.0316391983756288,0.00134013151820456,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"6",6,44041.9652383887,0.565777857306322,0.558909808320919,0.0276679547009885,0.0017297688848665,1.21787374018334,0.000122481900423961,1.37208161129686,0.0382262078403173,0.00193734897739569,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"7",7,44041.5552904554,0.726046930235063,0.589352347310761,0.0307359969441825,0.00227464046242041,1.43342342154568,0.00019620809409578,1.78202954459219,0.0449446733388777,0.00260717036427854,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"8",8,44041.108798749,0.866180234074688,0.656928838662917,0.0340108216077488,0.00285628518000327,1.66825437329458,0.000290698169215352,2.22852125098914,0.0522621106231648,0.00334895513903326,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"9",9,44040.6048686724,1.00969488064251,0.747841647562748,0.037788487879162,0.00348076248376214,1.93323814849867,0.000407400510136012,2.73245132757698,0.0605209796390154,0.00417121744321121,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"10",10,44040.0286097128,1.16779311414894,0.857814369322,0.0422388652281944,0.0041586963271756,2.23615716144617,0.000548080747157954,3.30871028721963,0.0699653566540749,0.00508757358834404,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"11",11,44039.3665628984,1.34698763927737,0.986593630031966,0.0474902829298619,0.00490328106822066,2.58406732117165,0.000714947066208138,3.97075710154527,0.0808158736255505,0.00611496032567218,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"12",12,44038.6047130439,1.55220794516732,1.13576733072466,0.0536647893940227,0.00572965341159757,2.98432650656959,0.000910730836514311,4.7326069561037,0.0933022994131264,0.00727314343468217,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"13",13,44037.7275167014,1.7880970481893,1.30791988174234,0.0608937749186785,0.0066548323799096,3.44509900526165,0.00113875610793574,5.60980329859981,0.107679477282599,0.00858477547709587,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
