"","time","S","E","I","H","C","R","D","hosp","crits","TA","ID","POP"
"1",0,88253,0,1,0,0,0,0,0,0,"Chiradzulu","194",88254
"2",1,88252.2625387589,0.607732815144652,0.794513572088667,0.0101127114372928,0.00012293726964119,0.32497763608407,0.00000156908481471675,0.0107837307801772,0.000125596004934564,"Chiradzulu","194",88254
"3",2,88251.5977823265,0.965697436253825,0.799136281743555,0.0180628952895965,0.000437664903239048,0.618871996341748,0.0000113989438423545,0.0205043926306144,0.00045697984021161,"Chiradzulu","194",88254
"4",3,88250.8831842049,1.252910485803,0.901693869120717,0.025775817646,0.000908603210036022,0.935491254946846,0.0000357643694032492,0.0309539658056693,0.000969204135037552,"Chiradzulu","194",88254
"5",4,88250.0557033794,1.54342515682989,1.06251732819536,0.0341412314955142,0.00153222074170133,1.3026003850897,0.0000802981784680215,0.043054329242741,0.00166828196610693,"Chiradzulu","194",88254
"6",5,88249.0719479843,1.87196851162846,1.27054534709456,0.0436776840485069,0.00232038146401582,1.73938927535047,0.000150816055444861,0.0574400643626468,0.0025759316839006,"Chiradzulu","194",88254
"7",6,88247.8921806827,2.25940761444958,1.52658215074482,0.0547940072287832,0.00329443519995942,2.26348735385998,0.000253755766822951,0.0746923488542719,0.00372441158289395,"Chiradzulu","194",88254
"8",7,88246.4733678784,2.72280690716959,1.83703093060523,0.0678970206358233,0.00448355817613769,2.89401721649114,0.00039648848521726,0.0954406120929053,0.00515538797091771,"Chiradzulu","194",88254
"9",8,88244.7655440986,3.2796120733148,2.21169228481588,0.0834414994103416,0.00592486836662075,3.65319756925341,0.000587606246740804,0.120415721574971,0.00692053759505499,"Chiradzulu","194",88254
"10",9,88242.7092624118,3.94963250714468,2.66317134118135,0.101959556628521,0.00766438793995346,4.56747256495101,0.00083723035818922,0.150487299339772,0.00908303266911286,"Chiradzulu","194",88254
"11",10,88240.233220584,4.75625898098008,3.20695333584878,0.124084237654596,0.00975853245049014,5.66856696282866,0.00115736617690245,0.186698484383654,0.0117196312215872,"Chiradzulu","194",88254
"12",11,88237.2516798325,5.72747203477454,3.86180089348445,0.15057326329235,0.0122760380737386,6.9946356174203,0.00156232044472904,0.230303750498595,0.0149233114824172,"Chiradzulu","194",88254
"13",12,88233.6614574241,6.89688549276773,4.65034759536052,0.18233588020375,0.0153003443680503,8.59160406459645,0.00206919856414652,0.282812988818341,0.0188064972540488,"Chiradzulu","194",88254
"14",13,88229.3383612999,8.30492902270971,5.59985537501517,0.220464345727472,0.0189324842246204,10.5147589752662,0.00269849714407646,0.346043796976964,0.0235049519005124,"Chiradzulu","194",88254
"15",14,88224.1328939633,10.0002522329131,6.74314677838939,0.26627173054638,0.0232945987464115,12.8306658781199,0.00347481791264388,0.422184523635268,0.0291825029156089,"Chiradzulu","194",88254
"16",15,88217.865103508,12.0413959017113,8.11973207260418,0.321337159186684,0.0285341743149579,15.6194694612754,0.00442772282327021,0.513869887467712,0.0360367279239748,"Chiradzulu","194",88254
"17",16,88211.8801430961,13.1907782637951,9.5532597741397,0.386630954696399,0.0348235831252171,18.948771616433,0.00559271163108854,0.623312516970366,0.0443001516699987,"Chiradzulu","194",88254
"18",17,88204.9398623958,14.7660389254711,10.9729004114478,0.460681547910858,0.0423154891138716,22.8111897628183,0.00701146731948273,0.750233829666097,0.0541960678090478,"Chiradzulu","194",88254
"19",18,88197.0086545298,16.6628681512599,12.4982017496496,0.543090235752845,0.0511282259836582,27.2273265312097,0.00873057624160156,0.895289083423025,0.0659217482759699,"Chiradzulu","194",88254
"20",19,88187.9919264106,18.8582491116957,14.1928353819602,0.63451367023072,0.0613775373412231,32.2502970215631,0.0108008664708204,1.0602134530229,0.0796790622910873,"Chiradzulu","194",88254
"21",20,88177.7603710278,21.3649618848609,16.0996054627082,0.736127136453908,0.0731935935249332,37.9524632273828,0.0132776671383212,1.24737857141107,0.0956919326224927,"Chiradzulu","194",88254
"22",21,88166.158487856,24.2133404776091,18.2549973759707,0.849419420472488,0.0867291435075161,44.4208042192313,0.0162215071549454,1.45963727600993,0.114215671437723,"Chiradzulu","194",88254
"23",22,88153.0064987134,27.444183457498,20.6954192189306,0.976124386121685,0.102164318301189,51.755910862143,0.0196990435087987,1.70028925241175,0.135543356662484,"Chiradzulu","194",88254
"24",23,88138.0993660687,31.1062862875038,23.4600664725108,1.11821027997415,0.119710328907558,60.0725764243711,0.0237841379670979,1.97309984357421,0.160011354347677,"Chiradzulu","194",88254
"25",24,88121.2044021909,35.2558909285013,26.5924698258137,1.27789444445657,0.139613045496825,69.5011704936315,0.0285590710878499,2.28234487567913,0.188004954930322,"Chiradzulu","194",88254
"26",25,88102.0580445574,39.9570084506622,30.14152004746,1.45767096502516,0.162156841176157,80.1894832480167,0.0341158901504274,2.6328710440204,0.219964501002494,"Chiradzulu","194",88254
"27",26,88080.3620303635,45.2821273763786,34.1623538255201,1.66034573009346,0.18766892667033,92.3049158705646,0.0405579071874729,3.0301676932844,0.256392260331674,"Chiradzulu","194",88254
"28",27,88055.7789450985,51.3131819348374,38.7172325196208,1.88907815733299,0.216524355789395,106.037036543272,0.0480013906160863,3.4804506006399,0.297860297712372,"Chiradzulu","194",88254
"29",28,88027.927424422,58.1426348035066,43.8764393593409,2.14742637429761,0.249151480895597,121.600346190574,0.0565773693468693,3.99075263560515,0.345018987405079,"Chiradzulu","194",88254
"30",29,87996.3764431569,65.8747765548659,49.7193217966228,2.43940105680233,0.286038534665067,139.237585126126,0.0664337739175562,4.56903214615364,0.398607222941189,"Chiradzulu","194",88254
"31",30,87960.639133929,74.6271323067836,56.3353994030852,2.76952372060841,0.327740866990403,159.223332016816,0.0777377566090587,5.22429091864541,0.459463585345526,"Chiradzulu","194",88254
"32",31,87920.1658942598,84.5320135789193,63.8255910892047,3.14289174206411,0.374889133783361,181.868041901167,0.0906782949801925,5.96670651817416,0.528538943497663,"Chiradzulu","194",88254
"33",32,87874.3366228926,95.7382367489567,72.3035939191845,3.56525161455705,0.428198665075699,207.522627006309,0.105469153252762,6.80778240492422,0.606910840150841,"Chiradzulu","194",88254
"34",33,87822.4519247694,108.413044460926,81.8974286688994,4.04308209711245,0.488480229627122,236.583687495971,0.12235227802286,7.76051933567819,0.695800010401898,"Chiradzulu","194",88254
"35",34,87763.7238732965,122.744096287861,92.7510313897766,4.58368185860471,0.556651539468131,269.499064203403,0.141601424297692,8.8395972992885,0.796588030371133,"Chiradzulu","194",88254
"36",35,87697.265569738,138.941644979969,105.026058137441,5.19526876541482,0.633750474517995,306.774181566819,0.163526337711979,10.0615833204471,0.910837628375606,"Chiradzulu","194",88254
"37",36,87622.0795468978,157.240877717736,118.903876402306,5.88709047698032,0.720950061439393,348.979180934244,0.188477509409377,11.445165127955,1.04031572069117,"Chiradzulu","194",88254
"38",37,87537.0452696994,177.904403539467,134.587623009768,6.66954471277864,0.819574936483397,396.756732661616,0.216851440356953,13.0114070347601,1.18701879451355,"Chiradzulu","194",88254
"39",38,87440.905548531,201.224814676424,152.304427667978,7.55431062395137,0.931119715408656,450.8306822194,0.249096565781082,14.7840330875397,1.35320131653614,"Chiradzulu","194",88254
"40",39,87332.2519419374,227.527230081046,172.307802884284,8.55449059501468,1.05726938949003,512.015545217485,0.285719895204169,16.7897379493839,1.54140738016686,"Chiradzulu","194",88254
"41",40,87209.5091231838,257.171925191931,194.880034086204,9.68476432235231,1.19992180418177,581.226936969439,0.327294441991677,19.0585283335796,1.75450577318511,"Chiradzulu","194",88254
"42",41,87070.918377495,290.556856335921,220.334599914456,10.9615534189893,1.3612123775715,659.492932933355,0.374467524651729,21.6240948220544,1.99572876233031,"Chiradzulu","194",88254
"43",42,86914.5205212292,328.119779700755,249.018687737917,12.4031931998003,1.54354120787527,747.966306902766,0.427970021538781,24.5242122592144,2.26871488242686,"Chiradzulu","194",88254
"44",43,86738.1383446613,370.340121200079,281.315477719184,14.0301135197665,1.74960249201834,847.937713745379,0.488626662155008,27.8011709304414,2.57755579305749,"Chiradzulu","194",88254
"45",44,86539.3589884456,417.740320202873,317.64609450992,15.86502554594,1.98241639513529,960.849787397492,0.557367502940809,31.502237491844,2.92684759321304,"Chiradzulu","194",88254
"46",45,86315.5172392963,470.885981563916,358.471381297747,17.9331025450117,2.24536294338966,1088.31169188402,0.635240469572367,35.6801303805465,3.32174596640459,"Chiradzulu","194",88254
"47",46,86063.6796329339,530.385108014709,404.292860222458,20.2621622908147,2.54221853495662,1232.11459253734,0.723425465742549,40.3935250141462,3.76802659826553,"Chiradzulu","194",88254
"48",47,85780.6312143849,596.88560559906,455.652885829245,22.8828296647531,2.87719356161207,1394.24702138458,0.823249575804405,45.7075550193427,4.27214855825551,"Chiradzulu","194",88254
"49",48,85462.8657884475,671.070679049693,513.133678115158,25.8286752043091,3.25497083094499,1576.91000482346,0.936203528883366,51.694305106076,4.84132061948269,"Chiradzulu","194",88254
"50",49,85106.5806160606,753.651438489335,577.354756765585,29.1363217021724,3.68074602439386,1782.53216067472,1.06396028312441,58.4333020624208,5.48357320681222,"Chiradzulu","194",88254
"51",50,84707.6781808006,845.356543472019,648.968136508897,32.8454935778655,4.16026614590964,2013.78298501746,1.20839447720117,66.0119456377755,6.20782980513295,"Chiradzulu","194",88254
"52",51,84261.7768289303,946.917476114389,728.651198189522,36.9989906878343,4.69986631304678,2273.58403629896,1.37160346589208,74.5258693490455,7.02397939417419,"Chiradzulu","194",88254
"53",52,83764.2325680923,1059.04910638114,817.096489106674,41.6425636423249,5.30650262622594,2565.11684061243,1.55592953880746,84.0791925514866,7.94294696628383,"Chiradzulu","194",88254
"54",53,83210.1758704297,1182.42433164321,914.997041193405,46.8246566426308,5.98777924735588,2891.82633698697,1.76398385660586,94.7846246406407,8.97676116376484,"Chiradzulu","194",88254
"55",54,82594.5616709541,1317.64466038757,1023.02880292496,52.5960166188336,6.75196480087865,3257.41821507673,1.99866923682761,106.763368093577,10.1386092893692,"Chiradzulu","194",88254
"56",55,81912.2462221031,1465.19961407042,1141.8257533288,59.0090499194068,7.60799910578828,3665.84815463523,2.26320683719887,120.1447526869,11.4428892518334,"Chiradzulu","194",88254
"57",56,81158.0818731707,1625.4230896359,1271.95043848864,66.1169778982523,8.56548020621404,4121.30098054981,2.56116005040233,135.065538109391,12.9052370849484,"Chiradzulu","194",88254
"58",57,80327.0345877496,1798.44439996442,1413.85863617833,73.9727419849414,9.63463074257568,4628.15854613821,2.8964572417895,151.66884520639,14.5425318466247,"Chiradzulu","194",88254
"59",58,79414.3354922528,1984.12739821271,1567.85867329503,82.6275136454538,10.8262369055397,5190.95127096072,3.27341472770335,170.102547811554,16.3728735084608,"Chiradzulu","194",88254
"60",59,78415.6507262706,2182.01119096875,1734.06520470119,92.1289425132773,12.1515573510971,5814.29562279148,3.69675540355298,190.517202878476,18.4155234351563,"Chiradzulu","194",88254
"61",60,77327.2861709477,2391.24925454604,1912.34202098633,102.518963775041,13.6221848538496,6502.80978022059,4.17162467039529,213.063262905816,20.6907930245892,"Chiradzulu","194",88254
"62",61,76146.4016600452,2610.54812722087,2102.25362478391,113.831285778662,15.2498734885124,7261.01183000321,4.70359867952406,237.887714868883,23.2198848593612,"Chiradzulu","194",88254
"63",62,74871.2441704787,2838.11744405466,2303.00799505051,126.088535739076,17.0463101750834,8093.19685775938,5.29868674253014,265.130027182202,26.0246683356917,"Chiradzulu","194",88254
"64",63,73501.3860538924,3071.63426931044,2513.40311614176,139.299073126402,19.0228264576913,9003.29133744796,5.9633236232468,294.917353433846,29.1273783813553,"Chiradzulu","194",88254
"65",64,72037.9450723757,3308.22539568135,2731.78767845066,153.453684750035,21.1900672365192,9994.69375074811,6.70435075753148,327.359287594479,32.5502523654706,"Chiradzulu","194",88254
"66",65,70483.7849360553,3544.48410418928,2956.02654322949,168.522169320687,23.5575855606769,11070.0956784262,7.52898321834843,362.541984625212,36.3150689153662,"Chiradzulu","194",88254
"67",66,68843.6651420763,3776.5165542619,3183.4932375547,184.450099375858,26.1333944536969,12231.2968110158,8.44476126167235,400.522089299562,40.4426176390479,"Chiradzulu","194",88254
"68",67,67124.3196343894,4000.02676379158,3411.08956111724,201.156059691554,28.9234901714828,13479.0250052764,9.45948556231587,441.320841230836,44.9521126435145,"Chiradzulu","194",88254
"69",68,65334.458419735,4210.45377315861,3635.28277794103,218.52956343585,31.9313264192683,14812.7630069314,10.5811323787893,484.918413930481,49.8605230028383,"Chiradzulu","194",88254
"70",69,63484.6744517766,4403.13508058207,3852.18776853259,236.429855570205,35.1572944992937,16230.5977983202,11.8177507189801,531.249009855271,55.1818786582592,"Chiradzulu","194",88254
"71",70,61587.2487837958,4573.49824318549,4057.68726768257,254.685923869918,38.598224988859,17729.1042169948,13.1773394825237,580.197096834471,60.9265639201634,"Chiradzulu","194",88254
