"","time","S","E","I","H","C","R","D","hosp","crits","TA","ID","POP"
"1",0,54299,0,1,0,0,0,0,0,0,"Salima","213",54300
"2",1,54298.2625462125,0.60772654471701,0.79451252609562,0.00932834826397136,0.000118025940296989,0.325766833048093,0.00000150944592033745,0.0099473220711541,0.000120578459643247,"Salima","213",54300
"3",2,54297.5978015235,0.965683267421859,0.799132297320707,0.0166618770811058,0.000420179972172438,0.620289889018642,0.0000109656805849206,0.0189140058297586,0.000438723274360855,"Salima","213",54300
"4",3,54296.8832227293,1.25288453962939,0.901684769104082,0.0237765069027168,0.000872303099475623,0.937524747006848,0.0000344049771499163,0.028553019961592,0.000930482971042716,"Salima","213",54300
"5",4,54296.0557735337,1.54338083185297,1.06249994583061,0.0314929564590376,0.00147100380956211,1.30530448235185,0.0000772460001551034,0.0397147110317126,0.00160162916497254,"Salima","213",54300
"6",5,54295.0720689024,1.87189557344631,1.27051483444269,0.0402895184871358,0.00222767035144674,1.74285841765968,0.000145083278204698,0.0529843962128373,0.00247301062462006,"Salima","213",54300
"7",6,54293.8923815895,2.25929061379623,1.52653110657787,0.0505432616936795,0.00316279694803599,2.26784652183962,0.00024410969673617,0.0688981071249588,0.00357559393210337,"Salima","213",54300
"8",7,54292.473692962,2.72262274963981,1.83694816368841,0.0626293710739445,0.00430439015613029,2.89942094747399,0.000381415946530661,0.0880363488294856,0.00494937621980652,"Salima","213",54300
"9",8,54290.7660597002,3.27932641967714,2.21156100792581,0.0769672272058265,0.00568807889274476,3.65983229910857,0.000565266990690054,0.111073143851924,0.00664396271083778,"Salima","213",54300
"10",9,54288.7100675655,3.94919450575494,2.66296652575673,0.094047490821115,0.00735803739840082,4.57556047614579,0.000805398654206013,0.138810429265703,0.00871999122437887,"Salima","213",54300
"11",10,54286.2344624579,4.755593568134,3.2066378405058,0.114453839332219,0.00936841341070149,5.67837052195447,0.00111335877518347,0.172210085988303,0.0112511372464425,"Salima","213",54300
"12",11,54283.253576276,5.72646871958076,3.86131980780591,0.13888482804906,0.0117851761875376,7.00646228389383,0.00150290846642683,0.212428769810074,0.0143266404987273,"Salima","213",54300
"13",12,54279.6643298585,6.89538202180194,4.64961999483288,0.16817859913992,0.0146884008452054,8.60581062470969,0.00199050018374147,0.260858496667678,0.0180543977048963,"Salima","213",54300
"14",13,54275.3426827601,8.30268759143948,5.5987622766983,0.203341837675321,0.018175038019645,10.5317546488359,0.00259584727409062,0.319174760451413,0.022564695375216,"Salima","213",54300
"15",14,54270.1393588435,9.99692492850475,6.74151368304613,0.24558451867825,0.0223622815592765,12.8509131346103,0.00334261011802225,0.389394523854335,0.0280147377872812,"Salima","213",54300
"16",15,54263.8747306668,12.0364741061894,8.11730313784787,0.296361442716362,0.0273916248785622,15.6434798041098,0.00425921747866278,0.473945706599139,0.0345940922659159,"Salima","213",54300
"17",16,54256.332711611,14.4915286178667,9.7735564582803,0.357421855902117,0.0334337218284246,19.0059678875718,0.00537984760852158,0.575750274762705,0.042531209135289,"Salima","213",54300
"18",17,54247.2533750799,17.4464713738418,11.7673117789879,0.430869441508227,0.0406942846590621,23.054532425173,0.00674561594585821,0.698324818833655,0.0521013281127133,"Salima","213",54300
"19",18,54236.3241817017,21.0026891643255,14.167140751346,0.519233694677834,0.049421123473274,27.9289275737092,0.00840599079742532,0.84590035363542,0.0636359117249083,"Salima","213",54300
"20",19,54223.1693670422,25.2819723432059,17.0554646737735,0.625556432830667,0.0599126925655456,33.7973063035665,0.0104205119054961,1.02356761859018,0.0775340977966376,"Salima","213",54300
"21",20,54207.3373526038,30.4305260084702,20.5313059753074,0.753494574601061,0.0725282828386905,40.8619317148492,0.012860840187024,1.23744997124039,0.0942763580391357,"Salima","213",54300
"22",21,54188.2857139551,36.6237381026555,24.7135684947639,0.907443172871455,0.0877002587479309,49.3660227949855,0.0158132208636974,1.49491061869734,0.114440900222655,"Salima","213",54300
"23",22,54165.3631899613,44.0718638539748,29.7449478202765,1.09268315508592,0.105948789208368,59.6019849660785,0.0193814540911588,1.80480176424632,0.138723422509059,"Salima","213",54300
"24",23,54137.7883470644,53.0267052736771,35.7965743375472,1.3155570985099,0.127899469601078,71.9212263016659,0.0236904546065036,2.17776174305857,0.167960754931006,"Salima","213",54300
"25",24,54104.6242742637,63.7894626714173,43.0735097175685,1.58367863790438,0.154304421052868,86.745879762754,0.0288905256037411,2.62656984043708,0.2031591859262,"Salima","213",54300
"26",25,54064.7486342568,76.719965466518,51.8211962562644,1.90618187530882,0.186067513122912,104.582792143586,0.0351624884342555,3.16656970829062,0.245528359504825,"Salima","213",54300
