"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,863
"2",2,18841348.3920372,0.957493112583809,1.01846914898988,0.00784563368410243,9.77316925123589e-05,0.287359281120794,1.42634279730617e-06,1.27126633441389,0.00847691148338258,0.000100140684156017,"Malawi","All","All",1,18841350.6633035,863
"3",3,18841346.7968563,1.74659318122046,1.45400331920036,0.0165892786082936,0.000381879506324872,0.648868533054745,1.09986279133125e-05,2.8664471902181,0.019113713211856,0.000400455407423059,"Malawi","All","All",1,18841350.6633035,863
"4",4,18841344.4003976,2.79936166059093,2.24101698791326,0.0290384833742555,0.000897300531916143,1.19255401025224,3.74308436487534e-05,5.26290587350625,0.0350935053915613,0.000960518567394856,"Malawi","All","All",1,18841350.6633035,863
"5",5,18841340.673105,4.40109721112291,3.50075622628014,0.0479329201045201,0.00174935897052477,2.03857011252682,9.26748825280251e-05,8.99019850388745,0.0599474165902417,0.0019058802626073,"Malawi","All","All",1,18841350.6633035,863
"6",6,18841334.8417689,6.89774484227163,5.48087538301916,0.0771292958699423,0.0031139137404194,3.36247650839711,0.000194626130007988,14.8215345694283,0.098831282140542,0.00344262344590687,"Malawi","All","All",1,18841350.6633035,863
"7",7,18841325.7097871,10.8051504990355,8.58416974867244,0.122550450862517,0.00527070271908261,5.43600417666225,0.000370784308317619,23.9535163622601,0.159724170024444,0.00589693107177842,"Malawi","All","All",1,18841350.6633035,863
"8",8,18841311.4066616,16.9245731820118,13.4453760209643,0.193437745869858,0.00866023931028175,8.68393089024716,0.000663826621026212,38.2566419050244,0.255098775613734,0.00978139530862234,"Malawi","All","All",1,18841350.6633035,863
"9",9,18841289.003565,26.5093068204071,21.0596817048218,0.304252531481253,0.0139741693685862,13.7713829854395,0.0011402876554835,60.6597384991737,0.404484906404389,0.0159000342017902,"Malawi","All","All",1,18841350.6633035,863
"10",10,18841253.9133485,41.5219232836252,32.986097208741,0.477638320491487,0.0222971265015332,21.740094957788,0.00190413195855397,95.7499550291058,0.638470402638689,0.0255130700918408,"Malawi","All","All",1,18841350.6633035,863
"11",11,18841198.951143,65.0363045172522,51.666597766636,0.749057167711594,0.0353290787361957,34.2217539285575,0.00311800475950854,150.712160463653,1.00496542372222,0.0405951672422177,"Malawi","All","All",1,18841350.6633035,863
"12",12,18841112.8634278,101.866955240825,80.9260325114459,1.17404912302475,0.0557335806739703,53.7720687604999,0.00503650243892293,236.799875718908,1.57901147716932,0.0642398754521554,"Malawi","All","All",1,18841350.6633035,863
