"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,598
"2",2,18841348.4426017,0.928261539726741,1.00856697923073,0.00839397238113783,8.01994036761158e-05,0.275398256476093,8.75822001480659e-07,1.22070182304038,0.00877892902873234,8.17031700441782e-05,"Malawi","All","All",1,18841350.6633035,598
"3",3,18841346.9399813,1.6811407130779,1.40887494151533,0.018024377673521,0.000319512140107038,0.614955842130774,6.86395373119731e-06,2.72332225049137,0.0195853346505383,0.000331297391853924,"Malawi","All","All",1,18841350.6633035,598
"4",4,18841344.7285326,2.65691329605784,2.13028017600466,0.0317149201768383,0.000760499265306079,1.1150783612777,2.36471984053063e-05,4.93477089998075,0.0354894266201486,0.000801100964738935,"Malawi","All","All",1,18841350.6633035,598
"5",5,18841341.3511086,4.10961951992689,3.26958027540269,0.0522633620523785,0.00149368290710795,1.87917902512447,5.90626606638862e-05,8.31219492807421,0.0597788761365666,0.00159509214615936,"Malawi","All","All",1,18841350.6633035,598
"6",6,18841336.158111,6.33297800480991,5.03159098113512,0.0835553046775918,0.00266596026852301,3.05427753866526,0.000124729621792061,13.5051925191782,0.0971254102011932,0.00288011817964531,"Malawi","All","All",1,18841350.6633035,598
"7",7,18841328.1640202,9.75282206554062,7.74681618037087,0.131457560424945,0.0045062235530111,4.86344307083657,0.000238239932717511,21.4992833406587,0.154616615315179,0.00491527607480706,"Malawi","All","All",1,18841350.6633035,598
"8",8,18841315.8553543,15.0176672318972,11.9282616523009,0.204970645111809,0.00736824400020029,7.64925499635238,0.000426442176491803,33.807949211839,0.243137052643218,0.00810043547500637,"Malawi","All","All",1,18841350.6633035,598
"9",9,18841296.9027555,23.1241437004585,18.3669611813917,0.317943110824457,0.011797652666227,11.9389718702573,0.000730473344393215,52.7605479889426,0.379438885974902,0.0130518587106145,"Malawi","All","All",1,18841350.6633035,598
"10",10,18841267.71983,35.6063068144769,28.2812318763543,0.491694596282542,0.01863532828585,18.5443914314856,0.00121349704497725,81.9434735439302,0.589314659904208,0.020718874989284,"Malawi","All","All",1,18841350.6633035,598
"11",11,18841222.7844406,54.8260943691794,43.5470846036628,0.759050298221269,0.0291766692354822,28.7154843221183,0.00197261474543763,126.878862877163,0.912478564256213,0.0325636036882801,"Malawi","All","All",1,18841350.6633035,598
"12",12,18841153.5937038,84.4203234009597,67.053200423879,1.17055267416811,0.0454168930130935,44.3769490602508,0.00315720624669547,196.069599658518,1.41008227253259,0.050837744011117,"Malawi","All","All",1,18841350.6633035,598
"13",13,18841047.055282,129.988733477858,103.247454079973,1.80402412538216,0.0704286955750985,68.4923839590569,0.00499716372609306,302.608021501572,2.17628543060675,0.0790087115307337,"Malawi","All","All",1,18841350.6633035,598
"14",14,18840883.0104623,200.153309118986,158.978419329673,2.77929132071426,0.108943782618067,105.62503128583,0.00784636560204884,466.652841203422,3.35607164636688,0.12241581310364,"Malawi","All","All",1,18841350.6633035,598
"15",15,18840630.4206928,308.189112645192,244.790974824149,4.28085644602824,0.168248297247491,162.801168878962,0.0122496157976487,719.242610707377,5.17268020470339,0.189280607725018,"Malawi","All","All",1,18841350.6633035,598
"16",16,18840241.4974712,474.534306551908,376.920768975892,6.59280048994999,0.259561442992722,250.839349108133,0.0190457062524645,1108.16583227513,7.96983869524035,0.29226248552195,"Malawi","All","All",1,18841350.6633035,598
"17",17,18839739.4612859,654.944939362373,561.185660798394,10.0948469635294,0.399880363437781,384.547165853245,0.0295242998104358,1610.20201764079,12.2177883071557,0.450572911718674,"Malawi","All","All",1,18841350.6633035,598
"18",18,18839004.7309096,935.682469952293,814.144466295477,15.1805438280112,0.612363260189355,580.266926991934,0.0456236238190404,2344.93239395172,18.43487017467,0.690697979997968,"Malawi","All","All",1,18841350.6633035,598
"19",19,18837942.4387049,1346.33377066109,1175.11128553697,22.4829788011436,0.928263900991405,863.298151511784,0.0701482089842961,3407.22459862097,27.4241168686603,1.04870677325548,"Malawi","All","All",1,18841350.6633035,598
"20",20,18836410.3067897,1939.95586694486,1694.35632057046,32.9649944601562,1.39200071246081,1271.58022273548,0.107108364404745,4939.35651378782,40.3900975675267,1.57590332721328,"Malawi","All","All",1,18841350.6633035,598
"21",21,18834201.7240925,2795.996753254,2442.46395054875,48.0285331704774,2.06753344895676,1860.22019751736,0.162243085103555,7147.93921102465,59.082537824413,2.34610111957586,"Malawi","All","All",1,18841350.6633035,598
"22",22,18831018.5976722,4029.73840240858,3520.58143512598,69.6977312249645,3.04713636000452,2708.75714215125,0.243784020951689,10331.0656312917,86.0269301414709,3.46570795464181,"Malawi","All","All",1,18841350.6633035,598
"23",23,18826431.5378013,5807.35916899195,5074.21746999536,100.889785618952,4.46391293758534,3931.83160589873,0.363558714539443,14918.1255021571,124.863290806149,5.08813494481532,"Malawi","All","All",1,18841350.6633035,598
"24",24,18819822.4846967,8367.94414504644,7312.78166756467,145.806693440839,6.50978235624043,5694.59773785385,0.538580589207475,21527.1786068513,180.835507746456,7.4345129238355,"Malawi","All","All",1,18841350.6633035,598
"25",25,18810302.4899348,12055.032933358,10537.4984136573,210.498609120867,9.46134962738969,8234.88872435985,0.793338534777527,31047.1733686582,261.495111138346,10.8234937674884,"Malawi","All","All",1,18841350.6633035,598
"26",26,18796594.2588313,17361.5202956998,15181.283646046,303.672500010905,13.7171157551317,11895.0478204468,1.16309429502319,44755.4044722537,377.711925357027,15.7141220883641,"Malawi","All","All",1,18841350.6633035,598
"27",27,18776865.2285795,24993.0657645171,21865.4615509875,437.849263381084,19.8508973541466,17167.5086229141,1.69862489036919,64484.4347240444,545.121245675187,22.7673974851922,"Malawi","All","All",1,18841350.6633035,598
"28",28,18748491.7561238,35956.8175200786,31480.0084796918,631.014866061019,28.6884234422252,24759.9048494953,2.47304094197817,92857.907179711,786.191033927543,32.9345782420603,"Malawi","All","All",1,18841350.6633035,598
"29",29,18707729.0955975,51683.8065194897,45296.0946929219,908.965527040776,41.4168967526375,35687.6924920397,3.59157778363148,133620.567706028,1133.16252361649,47.5835537562005,"Malawi","All","All",1,18841350.6633035,598
"30",30,18649255.9848055,74194.1291602236,65121.8820252177,1308.61587770877,59.7411424891603,51405.104662274,5.20563014694296,192093.67849806,1632.20763595731,68.6790905269018,"Malawi","All","All",1,18841350.6633035,598
"31",31,18565559.3976997,106312.318509783,93514.0187235945,1882.61919382718,86.1050213920071,73988.6713356359,7.53281961564652,275790.265603848,2349.25477403231,99.0387005820024,"Malawi","All","All",1,18841350.6633035,598
"32",32,18446130.4434959,151932.452552906,134056.090034349,2705.72520234438,124.003061175882,106391.063371471,10.8855853630305,395219.21980761,3378.04622067182,142.693362558953,"Malawi","All","All",1,18841350.6633035,598
"33",33,18276468.9508083,216311.469186364,191707.409475044,3883.33442639017,178.414301419654,152785.373400055,15.7117059092648,564880.712495183,4851.06442087397,205.390941526088,"Malawi","All","All",1,18841350.6633035,598
"34",34,18036964.8969931,306322.751264365,273203.135109882,5562.61312057599,256.396622843814,219018.218893496,22.6512992087133,804384.766310371,6953.90830689727,295.288386107808,"Malawi","All","All",1,18841350.6633035,598
"35",35,17701876.7442738,430512.640601643,387436.345179668,7946.13890077037,367.881513870559,313178.296703484,32.6161302791771,1139472.91902971,9943.32517132804,423.882664432262,"Malawi","All","All",1,18841350.6633035,598
