"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,457
"2",2,18841349.0360742,0.520731130875473,0.656622579105847,0.0132104449071451,9.43478470840425e-05,0.436569769500901,1.08185767978925e-06,0.62722935409413,0.0139315055984738,9.61946737512493e-05,"Malawi","All","All",1,18841350.6633035,457
"3",3,18841348.5687654,0.755079062405655,0.554409612869896,0.0218156612196061,0.000319948171629663,0.762906204896638,7.5836448566509e-06,1.09453807320828,0.0243109851033318,0.000332894123595005,"Malawi","All","All",1,18841350.6633035,457
"4",4,18841348.1406093,0.887790465706833,0.542762492282548,0.0287862443037203,0.000632453088883954,1.06269960792644,2.29619791540606e-05,1.52269422528758,0.0338208400005619,0.00067165121653585,"Malawi","All","All",1,18841350.6633035,457
"5",5,18841347.705625,0.987021013875595,0.566526927350493,0.0352421910579435,0.00101439971507131,1.36782425712014,4.97323366180153e-05,1.95767852145586,0.043482356281004,0.00109929720871072,"Malawi","All","All",1,18841350.6633035,457
"6",6,18841347.2451668,1.07812754244536,0.605618303488053,0.0416238719466355,0.00145863841091926,1.69121832175623,9.00333692009686e-05,2.4181367114164,0.0537096781490998,0.00161233332873064,"Malawi","All","All",1,18841350.6633035,457
"7",7,18841346.7504867,1.1707691184271,0.652851122595333,0.048122278862745,0.00196222581774742,2.03896623605267,0.000145848133376462,2.91281682988898,0.0646971098680062,0.00221120147056567,"Malawi","All","All",1,18841350.6633035,457
"8",8,18841346.2163146,1.26886818008691,0.705793092606495,0.054837354171747,0.00252416357656614,2.4147470496719,0.00021909874732132,3.44698893886094,0.0765617058251718,0.00289818450081878,"Malawi","All","All",1,18841350.6633035,457
"9",9,18841345.6384884,1.37427013427734,0.763775665854574,0.0618363448689046,0.00314455479361087,2.82147673679803,0.000311694016537134,4.02481513060899,0.0893959111041785,0.0036766440254049,"Malawi","All","All",1,18841350.6633035,457
"10",10,18841345.0130686,1.48809127292266,0.826796460466152,0.069175480103343,0.00382428427302228,3.26192181610242,0.000425559441422742,4.65023487330902,0.103287226060631,0.00455075184780921,"Malawi","All","All",1,18841350.6633035,457
"11",11,18841344.3359988,1.61121560363133,0.895118482092578,0.0769081444332443,0.00456489511811455,3.73893492456841,0.00056266041561797,5.3273047102593,0.118325751446927,0.00552540617197821,"Malawi","All","All",1,18841350.6633035,457
"12",12,18841343.602961,1.74448224196631,0.969123505857384,0.0850881523313234,0.0053685430760688,4.25555499587172,0.00072502337576259,6.06034246247857,0.134607391326392,0.00660622205152092,"Malawi","All","All",1,18841350.6633035,457
"13",13,18841342.809312,1.88875519841897,1.04926047313936,0.0937711307466585,0.00623797112766937,4.81505201015133,0.000914754267762747,6.85399153785175,0.152235281459369,0.00779953750299378,"Malawi","All","All",1,18841350.6633035,457
"14",14,18841341.9500368,2.04495306159895,1.1360287442424,0.103015290472935,0.00717650931587601,5.42095901727814,0.00113405777718181,7.71326668068548,0.17132080546,0.0091124461624495,"Malawi","All","All",1,18841350.6633035,457
"15",15,18841341.0197034,2.21406588350489,1.22997426534471,0.112882042095068,0.00818809235533619,6.07710459065402,0.00138525900445524,8.64360013295848,0.191984620098769,0.0105528518964567,"Malawi","All","All",1,18841350.6633035,457
"16",16,18841340.0124276,2.3971642304712,1.33169001724262,0.123436466446927,0.00927726433250435,6.78763712569783,0.00167082394945561,9.65087592814054,0.214357423113664,0.0121295084711819,"Malawi","All","All",1,18841350.6633035,457
"17",17,18841339.0906115,2.45282830681189,1.41999994246578,0.134615939033076,0.0104487199646884,7.55280569251804,0.00199336541703062,10.5726919662105,0.238445214546969,0.0138515708927114,"Malawi","All","All",1,18841350.6633035,457
"18",18,18841338.1169866,2.53501133150004,1.48988217875691,0.146016611769757,0.0117034966284552,8.36134770034125,0.00235561148615812,11.5463169304826,0.2638868310374,0.0157247336095179,"Malawi","All","All",1,18841350.6633035,457
"19",19,18841337.0989234,2.62975168357948,1.55414760003312,0.157435868434863,0.0130383524851332,9.20724630718494,0.00276024253712682,12.5643800542547,0.29048965438059,0.0177503304289577,"Malawi","All","All",1,18841350.6633035,457
"20",20,18841336.0382645,2.73180626946877,1.61775155245916,0.168826806643959,0.0144487730901766,10.0889958129543,0.00320980629779376,13.6250390209142,0.318205543518583,0.0199281961030893,"Malawi","All","All",1,18841350.6633035,457
"21",21,18841334.9347003,2.83926792393512,1.68264951793054,0.180200083091202,0.015930319757682,11.006848679053,0.00370670193831063,14.7286032257058,0.34704258339168,0.0222579875414818,"Malawi","All","All",1,18841350.6633035,457
"22",22,18841333.7870575,2.95151056078425,1.74965083932689,0.191586667430457,0.0174790898431429,11.9617656957045,0.00425319151597521,15.8762460446052,0.377031435478486,0.0247396636313425,"Malawi","All","All",1,18841350.6633035,457
"23",23,18841332.5937903,3.06840248251404,1.81912862741269,0.203023786735915,0.0190918434863349,12.9550150548976,0.0048514202227935,17.0695132152693,0.408212491391313,0.02737364654478,"Malawi","All","All",1,18841350.6633035,457
