"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,584
"2",2,18841348.62872,0.797770217301388,0.853915933407223,0.011086677243443,9.7320894614744e-05,0.371712322436074,1.01765523959876e-06,1.03458348893798,0.0117047057791943,9.90396166749498e-05,"Malawi","All","All",1,18841350.6633035,584
"3",3,18841347.55635,1.30871233537543,1.01846172295295,0.0214906185451312,0.000363142943761536,0.757918031439581,7.60963606898143e-06,2.10695346089292,0.0238369076209833,0.000375994888971441,"Malawi","All","All",1,18841350.6633035,584
"4",4,18841346.1927463,1.84186099900273,1.34424961690338,0.0339845303932905,0.000804003718515739,1.24963312000953,2.48864391747482e-05,3.47055715646662,0.0392639680283146,0.000846034526539165,"Malawi","All","All",1,18841350.6633035,584
"5",5,18841344.3658314,2.52111083632979,1.81577692751664,0.0502018555679665,0.00146019487079107,1.90886358240702,5.87233213106517e-05,5.29747212001351,0.0599326784311048,0.00155937292624427,"Malawi","All","All",1,18841350.6633035,584
"6",6,18841341.8902272,3.43154241822465,2.46473296918127,0.0717585909311622,0.00239621854856213,2.802529558939,0.000116593614116754,7.77307634943876,0.0879403053612419,0.00259313397616863,"Malawi","All","All",1,18841350.6633035,584
"7",7,18841338.5276195,4.66535715804965,3.34903072315894,0.100678115233053,0.00370328873770416,4.01670637106534,0.000208325948134257,11.1356839821928,0.125983007649075,0.00405513127615835,"Malawi","All","All",1,18841350.6633035,584
"8",8,18841333.9579419,6.3412774625922,4.55155805701088,0.139659067470715,0.00550709275377437,5.66701286783985,0.000347024773911884,15.7053615724413,0.177681849649261,0.00609318430143391,"Malawi","All","All",1,18841350.6633035,584
"9",9,18841327.7472854,8.61879954136805,6.18613836984375,0.192352100545366,0.00797956542405919,7.91019824242909,0.000550287250411168,21.9160181068607,0.247945853268505,0.00890894779239895,"Malawi","All","All",1,18841350.6633035,584
"10",10,18841319.3061736,11.7141923603156,8.40781405931367,0.263712273364898,0.0113552858005136,10.9592141194908,0.000841849301475894,30.3571299475869,0.343444057082666,0.0127770884990246,"Malawi","All","All",1,18841350.6633035,584
