"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,579
"2",2,18841349.1220145,0.46614641759006,0.732310471683535,0.00976815681411602,9.3807209640533e-05,0.332968854345101,1.244405769406e-06,0.541288952048222,0.0104246640155666,9.59392706255361e-05,"Malawi","All","All",1,18841350.6633035,579
"3",3,18841348.6905962,0.721582446872991,0.63504863610472,0.0164206115440891,0.000322815658128436,0.599323964141648,8.84613172432088e-06,0.972707320453302,0.018733334716944,0.000337971881911154,"Malawi","All","All",1,18841350.6633035,579
"4",4,18841348.29263,0.884595240722704,0.617945199855324,0.0216959567740676,0.000640894296303436,0.845769238046164,2.69691229409466e-05,1.3706734988175,0.0263977510729566,0.000687100940659957,"Malawi","All","All",1,18841350.6633035,579
"5",5,18841347.8916726,1.00958629256794,0.639960188859199,0.0264107827296921,0.00102626098848612,1.0945888171296,5.85411685293821e-05,1.77163088344344,0.034119775126802,0.00112656054069533,"Malawi","All","All",1,18841350.6633035,579
"6",6,18841347.4694066,1.12179939745348,0.682565661235867,0.0309603252539639,0.00146869361468061,1.35699690807734,0.000105906842022736,2.19389689247735,0.042252181400246,0.00165014555863081,"Malawi","All","All",1,18841350.6633035,579
"7",7,18841347.0156467,1.23318827870555,0.737542210006033,0.0355474151967528,0.00196366082532613,1.63924413024184,0.000171141820208052,2.64765683679571,0.0509911284730685,0.00225688093627288,"Malawi","All","All",1,18841350.6633035,579
"8",8,18841346.5237584,1.34967156867661,0.801403610076821,0.0402873444124027,0.00250961867403322,1.94541673224547,0.000256211658031457,3.13954508574336,0.0604643874836819,0.00294859034502811,"Malawi","All","All",1,18841350.6633035,579
"9",9,18841345.9885499,1.47445162781009,0.872851061888842,0.0452560143358494,0.00310675962492825,2.2787250647465,0.000363058772420624,3.67475358717863,0.0707719500404629,0.00372879422406919,"Malawi","All","All",1,18841350.6633035,579
"10",10,18841345.4052914,1.60953537384712,0.951611745134689,0.0505121703405301,0.00375643006760882,2.64210270509612,0.00049365613042827,4.25801208061649,0.0820049061131051,0.00460221928007456,"Malawi","All","All",1,18841350.6633035,579
"11",11,18841344.7692501,1.75643247995179,1.03791120200556,0.0561077752222502,0.0044608584862808,3.03849099525315,0.000650045380019486,4.89405335629905,0.0942544044430755,0.00557459198647394,"Malawi","All","All",1,18841350.6633035,579
