"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"1",1,18841349.6633035,0,1,0,0,0,0,0,0,0,"Malawi","All","All",1,18841350.6633035,866
"2",2,18841349.0960168,0.488767259647353,0.791099616736616,0.00894437249348198,8.30244436160328e-05,0.278391184493288,1.21311677300528e-06,0.567286670931129,0.00954480664936962,8.50607746880692e-05,"Malawi","All","All",1,18841350.6633035,866
"3",3,18841348.6088593,0.78577560739323,0.73442698158424,0.0155769326405728,0.000291921957563652,0.518363972707515,8.76318462103336e-06,1.05444417946774,0.0177414109327974,0.000306631790558208,"Malawi","All","All",1,18841350.6633035,866
"4",4,18841348.1305303,1.00060434421442,0.755578465951185,0.0212911062896598,0.0005917225015171,0.754680404402462,2.71301737974079e-05,1.53277317353304,0.0257894724188513,0.000637263060449894,"Malawi","All","All",1,18841350.6633035,866
"5",5,18841347.6233342,1.18636515704313,0.820039264245046,0.0267880310783298,0.00096712977392232,1.00574993952618,5.97810748513859e-05,2.03996930274145,0.0343232343081769,0.00106747795387373,"Malawi","All","All",1,18841350.6633035,866
"6",6,18841347.0649844,1.36955839554318,0.912303934438944,0.0324441034956395,0.00141281591062903,1.2824900933704,0.000109770296088543,2.59831911305488,0.0437176760093288,0.0015970757194832,"Malawi","All","All",1,18841350.6633035,866
"7",7,18841346.4399099,1.56424429459528,1.02599405328742,0.0384858729679605,0.00192884275244677,1.59256043273102,0.000180051757641635,3.22339354809177,0.0542347844864609,0.00223107663200325,"Malawi","All","All",1,18841350.6633035,866
"8",8,18841345.7350539,1.77878726962671,1.15918679738933,0.0450737444328442,0.00251852259861918,1.94240965443396,0.000273655546368751,3.92824964402783,0.0660942493243038,0.00297787927763474,"Malawi","All","All",1,18841350.6633035,866
"9",9,18841344.9377936,2.01907680941248,1.31221989907507,0.0523424567827922,0.00318744889799348,2.33828949665818,0.000393801865445168,4.72550991269196,0.0795084491223143,0.00384848252037534,"Malawi","All","All",1,18841350.6633035,866
"10",10,18841344.0348524,2.29008753096622,1.48666872960247,0.0604212325758542,0.00394309181558209,2.78678654217036,0.000543987468463331,5.62845111459895,0.0947007705144509,0.004856226156381,"Malawi","All","All",1,18841350.6633035,866
"11",11,18841343.0116687,2.59665181411069,1.68488472545316,0.0694443462954614,0.00479467628762117,3.29513115266609,0.000728061720098121,6.65163477653312,0.111916216876897,0.00601679664403437,"Malawi","All","All",1,18841350.6633035,866
"12",12,18841341.8519683,2.94386440347714,1.90980193413441,0.0795572727096367,0.00575320694686924,3.87140806902877,0.000950300602139672,7.81133518689896,0.131428609529826,0.00734837625535877,"Malawi","All","All",1,18841350.6633035,866
"13",13,18841340.5374124,3.33731979445025,2.16487313020102,0.0909209105784833,0.00683157833016589,4.52473018629035,0.00121548399099116,9.12589108384127,0.153546505048641,0.00887188300115513,"Malawi","All","All",1,18841350.6633035,866
"14",14,18841339.0472643,3.78327401737507,2.4540725984095,0.103715023817347,0.00804474283775001,5.26540387224346,0.00152897885847293,10.6160392335416,0.178618807879146,0.0106112782507276,"Malawi","All","All",1,18841350.6633035,866
"15",15,18841337.3580413,4.2887779248994,2.78193442451474,0.118141501619087,0.00940992466269135,6.10510161369545,0.00189683054642486,12.3052622199378,0.207040622076002,0.0125939338743551,"Malawi","All","All",1,18841350.6633035,866
"16",16,18841335.4431226,4.86180613978296,3.15361518144399,0.134427881366623,0.0109468882308307,7.05705891937683,0.00232586830127237,14.2201808785025,0.239259919581182,0.0148510778329678,"Malawi","All","All",1,18841350.6633035,866
"17",17,18841333.6053265,5.22154570369377,3.53622111034832,0.152689772708265,0.0126775504720817,8.13201909521983,0.00282379523625895,16.0579770276786,0.275638293330161,0.0174175574595519,"Malawi","All","All",1,18841350.6633035,866
"18",18,18841331.5598868,5.66962384017247,3.91436223246629,0.172645152807011,0.0146205115941899,9.32876579682936,0.00339920875381435,18.1034167426232,0.316126887851398,0.0203264045137827,"Malawi","All","All",1,18841350.6633035,866
"19",19,18841329.3030645,6.18703629267553,4.30855312437122,0.194164755803275,0.0167890362231206,10.649634412796,0.00406136215674138,20.360238984026,0.360799713162972,0.0236064161642757,"Malawi","All","All",1,18841350.6633035,866
"20",20,18841326.8225378,6.766952239133,4.73060180760595,0.217293334657749,0.0191949358757803,12.1019033896209,0.00482002679721069,22.8407657336907,0.409900679143601,0.0272858060653769,"Malawi","All","All",1,18841350.6633035,866
"21",21,18841324.1007697,7.4087515715675,5.18821203792021,0.242166871182405,0.0218508640707811,13.6958670223329,0.0056854849690934,25.5625338520429,0.463776922265906,0.0313944875370359,"Malawi","All","All",1,18841350.6633035,866
"22",22,18841321.1165664,8.11511960420718,5.68725928181495,0.268973014881442,0.0247714476701212,15.4439451722807,0.00666859202232274,28.5467371128768,0.522847966440543,0.0359653091713095,"Malawi","All","All",1,18841350.6633035,866
"23",23,18841317.8457344,8.89064925553751,6.23292310349769,0.297932848820611,0.0279738644593788,17.3603091475443,0.00778087341307621,31.8175690932727,0.587592715905183,0.0410347953204507,"Malawi","All","All",1,18841350.6633035,866
"24",24,18841314.2612874,9.74118435415883,6.83026021006049,0.329293147492396,0.0314781670162853,19.460765577457,0.00903463923439327,35.4020160954195,0.658545356314156,0.0466436622159413,"Malawi","All","All",1,18841350.6633035,866
"25",25,18841310.3334228,10.6735236486495,7.48450994511309,0.36332378505938,0.0353075035577255,21.7627726909868,0.0104431107138643,39.3298806840805,0.736295820786798,0.0528372511538088,"Malawi","All","All",1,18841350.6633035,866
"26",26,18841306.0293707,11.6953113082457,8.20126484234002,0.400317829487745,0.0394883027999957,24.2855300106416,0.0120205546804714,43.6339328481956,0.821492782246196,0.0596659390701765,"Malawi","All","All",1,18841350.6633035,866
"27",27,18841301.3131657,12.8150201007365,8.98657944996638,0.440593028487686,0.0440504620553002,27.0501123142124,0.0137824266426837,48.3501377821011,0.914848162443871,0.0671855668078552,"Malawi","All","All",1,18841350.6633035,866
"28",28,18841296.1453725,14.0419805161967,9.84705233755643,0.484494017199872,0.0490275543617977,30.0796310783791,0.0157455207329993,53.517931024427,1.01714257844668,0.0754578979424645,"Malawi","All","All",1,18841350.6633035,866
"29",29,18841290.4827605,15.3864405787837,10.789897382093,0.532395109779196,0.0544570695823384,33.3994247604525,0.0179281327293941,59.1805430334203,1.12923176775039,0.0845511335280673,"Malawi","All","All",1,18841350.6633035,866
"30",30,18841284.2779638,16.8596385872717,11.82300858891,0.584703274353751,0.0603806738461903,37.0372584188811,0.0203502234127345,65.3853397666756,1.25205333023032,0.094540445749742,"Malawi","All","All",1,18841350.6633035,866
"31",31,18841277.4790743,18.4738947289914,12.9550326584222,0.641861684258285,0.0668445281987843,41.0235619601419,0.0230336081276189,72.1842291681402,1.38663477479358,0.105508614769101,"Malawi","All","All",1,18841350.6633035,866
"32",32,18841270.0292142,20.2427111487684,14.1954418506837,0.704353443639892,0.0738996351614647,45.3916810994695,0.026002151213005,79.6340893289361,1.53410199511909,0.117546701654213,"Malawi","All","All",1,18841350.6633035,866
"33",33,18841261.8660494,22.1808867616986,15.5546153061813,0.772705787345772,0.0816022412329328,50.1781620130301,0.0292819830538655,87.7972540925427,1.69568888260233,0.130754815222748,"Malawi","All","All",1,18841350.6633035,866
"34",34,18841252.9213036,24.3046315861389,17.0439213669071,0.847494251036568,0.090014250115016,55.4230367835045,0.0329017154222555,96.7419999531244,1.87274696495862,0.145242886738067,"Malawi","All","All",1,18841350.6633035,866
"35",35,18841243.1201367,26.6317138521964,18.6758211984452,0.929347972110794,0.0992037562695267,61.1701873553238,0.0368927133976745,106.543166847744,2.06675769544895,0.161131659910086,"Malawi","All","All",1,18841350.6633035,866
"36",36,18841232.3805396,29.1816043712509,20.4639690832181,1.01895483621684,0.109245574006274,67.4677007100719,0.0412893579029867,117.282763932667,2.27934444495215,0.178553660674627,"Malawi","All","All",1,18841350.6633035,866
"37",37,18841220.6126689,31.975633953115,22.4233236052666,1.11706709475912,0.12022182502404,74.3682588296361,0.0461293327183847,129.050634640519,2.51228566768415,0.197654266514436,"Malawi","All","All",1,18841350.6633035,866
"38",38,18841207.7180746,35.0371762186373,24.5702767366142,1.22450787408622,0.132222624176262,81.929591538177,0.051453956854253,141.945228948545,2.76753018941412,0.218592950144114,"Malawi","All","All",1,18841350.6633035,866
"39",39,18841193.5888799,38.3918431693479,26.9227895202134,1.34217807752882,0.145346813155354,90.2149574641748,0.0573085353200677,156.07442357974,3.04721344475683,0.241544601993148,"Malawi","All","All",1,18841350.6633035,866
