"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP"
"1",1,65015.69693,0,1,0,0,0,0,0,0,0,"Malawi","Mwanza","TA Nthache","221",65016.69693
"2",2,65014.9594730499,0.607729121935746,0.794513066676042,0.00911160694465777,0.000104104583700057,0.325997722785937,1.32718592973825e-06,0.737456950112013,0.00971619952686924,0.00010635603288182,"Malawi","Mwanza","TA Nthache","221",65016.69693
"3",3,65014.2947232751,0.96568930805307,0.799134047045407,0.0162747541278995,0.000370618946465395,0.620728355072548,9.64159934762642e-06,1.40220672484474,0.018474556334712,0.000386975035296433,"Malawi","Mwanza","TA Nthache","221",65016.69693
"4",4,65013.5801361731,1.25289565782032,0.901688693642607,0.0232241046621392,0.000769413590083137,0.938185706572231,3.02506520846863e-05,2.11679382693946,0.027889640684478,0.000820731046332321,"Malawi","Mwanza","TA Nthache","221",65016.69693
"5",5,65012.752673407,1.54339983942047,1.0625074138756,0.030761318174392,0.00129749746462355,1.30622260530948,6.79187351718153e-05,2.94425659297974,0.0387920542723817,0.00141271536838714,"Malawi","Mwanza","TA Nthache","221",65016.69693
"6",6,65011.7689470099,1.87192684813065,1.27052792869601,0.0393535891364676,0.0019649162096641,1.74408214306189,0.00012756488811684,3.92798299012279,0.0517535334768603,0.00218131834032038,"Malawi","Mwanza","TA Nthache","221",65016.69693
"7",7,65010.5892254084,2.25934077405337,1.52655299932041,0.0493692476022959,0.00278974771827396,2.26943718860068,0.000214634287015756,5.10770459158205,0.0672976842439558,0.0031538550969404,"Malawi","Mwanza","TA Nthache","221",65016.69693
"8",8,65009.1704835592,2.72270168852544,1.83698365151574,0.0611747951113004,0.00379669665349446,2.90145424750999,0.000335361551133368,6.52644644086709,0.0859915675406781,0.00436560676094491,"Malawi","Mwanza","TA Nthache","221",65016.69693
"9",9,65007.4627686503,3.27944884903025,2.21161728398395,0.0751799188556135,0.0050171917628094,3.66240109224793,0.00049701385131459,8.23416134973187,0.108493611113466,0.00586033016850963,"Malawi","Mwanza","TA Nthache","221",65016.69693
"10",10,65005.4066524397,3.94938221102778,2.6630543127275,0.0918639547958549,0.00649020036510539,4.57877872971291,0.00070815172235232,10.2902775603515,0.135587217767901,0.00769151480050547,"Malawi","Mwanza","TA Nthache","221",65016.69693
"11",11,65002.9308602057,4.75587870670233,3.20677305070852,0.111797130832492,0.00826348864918437,5.68237848837428,0.000978929075992328,12.7660697943428,0.168212065997055,0.0099241520255524,"Malawi","Mwanza","TA Nthache","221",65016.69693
"12",12,64999.9496935636,5.72689862548814,3.86152596680209,0.135661936979843,0.0103952525563873,7.01143320850883,0.00132144608986563,15.7472364364252,0.207498154143439,0.012636964626345,"Malawi","Mwanza","TA Nthache","221",65016.69693
"13",13,64996.3600291083,6.89602616183766,4.64993174403205,0.16427728383056,0.0129561338054151,8.61195939852406,0.00175016964694051,19.3369008916767,0.254805473652672,0.0159251360614354,"Malawi","Mwanza","TA Nthache","221",65016.69693
"14",14,64992.0377617049,8.30364771155531,5.59923050243584,0.198626822093366,0.0160316646883831,10.5393491600779,0.00228243429082743,23.6591682951416,0.311771057245855,0.0199036050860074,"Malawi","Mwanza","TA Nthache","221",65016.69693
"15",15,64986.8335194617,9.99835022318851,6.74221327158369,0.239892944377062,0.0197252420336661,12.8602898112415,0.00293904594449427,28.8634105383689,0.380365708435804,0.0247110638681407,"Malawi","Mwanza","TA Nthache","221",65016.69693
"16",16,64980.5675187967,12.0385725801393,8.11835265478897,0.289497737962681,0.0241617360930939,15.6550814844312,0.00374500990986048,35.1294112033251,0.462962489821497,0.030514801860536,"Malawi","Mwanza","TA Nthache","221",65016.69693
"17",17,64974.1968385232,13.5117357337616,9.60702930979238,0.348522346437154,0.029488157913245,18.9985855841725,0.00473034477206428,41.5000914768489,0.561767727287727,0.0375127538857347,"Malawi","Mwanza","TA Nthache","221",65016.69693
"18",18,64966.7394027476,15.4181074550839,11.1673222329201,0.416475040146667,0.0358467160817287,22.9138452792651,0.00593052891814259,48.9575272524156,0.677440224532374,0.0459073143603809,"Malawi","Mwanza","TA Nthache","221",65016.69693
"19",19,64958.1035242705,17.6974138388768,12.9019190953879,0.493660363281652,0.043366526277747,27.4496599350765,0.00738597062106224,57.5934057295217,0.811408171976451,0.0558961478919532,"Malawi","Mwanza","TA Nthache","221",65016.69693
"20",20,64948.1404143341,20.3552891505641,14.8740726117874,0.581177356214019,0.0521848734124011,32.6846497398854,0.00914193405020034,67.5565156659136,0.965987522567592,0.0676933259026391,"Malawi","Mwanza","TA Nthache","221",65016.69693
"21",21,64936.66152298,23.4283422766914,17.1344436820748,0.6805770638517,0.0624593629193803,38.7183355449661,0.0112490895433467,79.0354070200468,1.1441138819886,0.0815424114059971,"Malawi","Mwanza","TA Nthache","221",65016.69693
"22",22,64923.4430424191,26.9707357256531,19.732391828921,0.793745964766434,0.0743748267364442,45.6688748360049,0.0137643988960903,92.2538875809779,1.34927373281455,0.0977248668006715,"Malawi","Mwanza","TA Nthache","221",65016.69693
"23",23,64908.224888543,31.0495281247254,22.7210584727057,0.922883315943617,0.0881484677984685,53.673670862262,0.0167522135929839,107.472041457028,1.58552161440397,0.116567061411864,"Malawi","Mwanza","TA Nthache","221",65016.69693
"24",24,64890.7070472918,35.7436318023323,26.1600447167427,1.07051961049264,0.104034725123172,62.8913662944534,0.0202855591635617,124.989882708308,1.85753862230871,0.138447315369228,"Malawi","Mwanza","TA Nthache","221",65016.69693
"25",25,64870.5444264225,41.14433970926,30.1171942515252,1.23955524392171,0.122330461452172,73.5046363125144,0.0244475988939951,145.152503577567,2.17071467945147,0.16380357030047,"Malawi","Mwanza","TA Nthache","221",65016.69693
"26",26,64847.3405248655,47.3566230636415,34.6701266689511,1.43331218530166,0.143380862141162,85.7236290372856,0.0293333172877339,168.356405134609,2.53124997449778,0.193142144058081,"Malawi","Mwanza","TA Nthache","221",65016.69693
"27",27,64820.6402871108,54.5008094701397,39.9077372013921,1.65559371453866,0.167585998525524,99.7898651223781,0.0350513822595467,195.056642889234,2.94626996722199,0.227047453126308,"Malawi","Mwanza","TA Nthache","221",65016.69693
"28",28,64789.9216254569,62.7146518892924,45.9318711855241,1.91075597428902,0.19540864640241,115.980890501298,0.0417263463553733,225.775304543162,3.4239626127312,0.266193565270791,"Malawi","Mwanza","TA Nthache","221",65016.69693
"29",29,64754.586030259,72.1556398588636,52.8591224138507,2.2037876197273,0.227383044110076,134.615465709486,0.049501095046141,261.110899741083,3.97373140742454,0.311357110923763,"Malawi","Mwanza","TA Nthache","221",65016.69693
"30",30,64713.9479196202,83.0035932271757,60.8228515827016,2.54040045654209,0.264124974263133,156.059500485782,0.0585396534501485,301.749010379915,4.60637040412498,0.36343212626635,"Malawi","Mwanza","TA Nthache","221",65016.69693
"31",31,64667.2227015375,95.4635187146455,69.9754354460452,2.92713138040199,0.30634325127377,180.732769291264,0.0690303789744763,348.474228462605,5.33426224160572,0.423446956773082,"Malawi","Mwanza","TA Nthache","221",65016.69693
"32",32,64613.5127375626,109.768908481134,80.490883462764,3.37146283614472,0.354853454936969,209.11689441868,0.081189783768547,402.184192437428,6.17161353538057,0.492584475238916,"Malawi","Mwanza","TA Nthache","221",65016.69693
"33",33,64551.7930841521,126.185023611953,92.5674326418839,3.88194611163823,0.410592210366232,241.763584751875,0.0952665202191699,463.903845847936,7.13469778123356,0.572203122741706,"Malawi","Mwanza","TA Nthache","221",65016.69693
"34",34,64480.8945425641,145.012649093013,106.430642675398,4.46834875720931,0.474634504336186,279.304566162469,0.111546243568108,534.802387435994,8.24214810356578,0.66386247396944,"Malawi","Mwanza","TA Nthache","221",65016.69693
"35",35,64399.4853185231,166.591963096898,122.336719177368,5.14181529564949,0.548212992298523,322.462543842452,0.130357072256898,616.211611476923,9.51528037465609,0.769351807210267,"Malawi","Mwanza","TA Nthache","221",65016.69693
"36",36,64306.0510692681,191.306638963026,140.575945811621,5.91504478887865,0.632739602230786,372.063415799561,0.152075766655944,709.645860731973,10.9784531748598,0.890722189848397,"Malawi","Mwanza","TA Nthache","221",65016.69693
"37",37,64198.8732976003,219.587942503543,161.476359844023,6.80248545746658,0.729829871587313,429.049879944072,0.177134779115145,816.823632399807,12.6594687448049,1.0303227750792,"Malawi","Mwanza","TA Nthache","221",65016.69693
"38",38,64076.0064232963,251.918551073265,185.407641125404,7.82054406166238,0.841330163803142,494.496410033621,0.206030246038802,939.690506703795,14.5900141525668,1.19084157623504,"Malawi","Mwanza","TA Nthache","221",65016.69693
"39",39,63935.2536234311,288.836240043354,212.78483491548,8.98781266436079,0.969347832189482,569.625740075291,0.239331038282641,1080.44330656896,16.8061468033972,1.3753509838491,"Malawi","Mwanza","TA Nthache","221",65016.69693
"40",40,63774.1420458357,330.936939191162,244.071888052163,10.3253082132717,1.11628450313759,655.826775222154,0.277688982463504,1241.55488416435,19.3488217923099,1.58735838837344,"Malawi","Mwanza","TA Nthache","221",65016.69693
"41",41,63589.8983719465,378.876345783752,279.785067681794,11.8567163552918,1.2848726179624,754.673705251296,0.321850363430779,1425.79855805353,22.2644543677455,1.83086223491032,"Malawi","Mwanza","TA Nthache","221",65016.69693
"42",42,63379.4253231943,433.370248152399,320.495486188541,13.6086403912481,1.47821500017628,867.946348236759,0.372668836609801,1636.27160680573,25.6055183299862,2.11041349509199,"Malawi","Mwanza","TA Nthache","221",65016.69693
"43",43,63139.2807671043,495.19272502637,366.830266052217,15.6108443895923,1.69982728732231,997.651380224033,0.431119916270067,1876.4161628958,29.4311700697289,2.43118267693192,"Malawi","Mwanza","TA Nthache","221",65016.69693
"44",44,62865.6618047123,565.170655147267,419.47267321602,17.896465271882,1.95368223646152,1146.04333262107,0.498316795066563,2150.03512528777,33.8078650674643,2.79903096671276,"Malawi","Mwanza","TA Nthache","221",65016.69693
"45",45,62554.3950769888,644.174531295422,479.159580331067,20.5021968906035,2.24425629698883,1315.64576002483,0.575528172307664,2461.30185301122,38.8099786450686,3.22058704582324,"Malawi","Mwanza","TA Nthache","221",65016.69693
"46",46,62200.9376853602,733.103341750791,546.675785736808,23.4684084000644,2.57657683063911,1509.27093402777,0.664197893840711,2814.75924463991,44.5203821596797,3.70332762802854,"Malawi","Mwanza","TA Nthache","221",65016.69693
"47",47,61968.4549781366,692.551642837787,598.380939613136,26.7468569528846,2.95574661384737,1726.84080454756,0.765961298289634,3047.2419518635,50.9356103151142,4.25512969172306,"Malawi","Mwanza","TA Nthache","221",65016.69693
"48",48,61721.676365248,676.549385737547,625.312147159846,30.0330366589428,3.38239690054078,1958.86102048271,0.882577812507003,3294.02056475209,57.7717125451495,4.87960919709012,"Malawi","Mwanza","TA Nthache","221",65016.69693
"49",49,61467.7170071624,671.49296185626,640.628937041658,33.145694506119,3.85156632364422,2198.84504664041,1.01571646963218,3547.97992283773,64.8353275870373,5.57463613866852,"Malawi","Mwanza","TA Nthache","221",65016.69693
"50",50,61209.9464573335,671.154726532905,650.349696662924,36.0197614086153,4.35614718763703,2443.70332507142,1.16681580311195,3805.75047266661,72.0348542586646,6.33554316096766,"Malawi","Mwanza","TA Nthache","221",65016.69693
"51",51,60950.0250009171,672.679412206449,657.224410934138,38.6412009422033,4.88870009098067,2691.90116200242,1.33704290677638,4065.67192908297,79.3252208139718,7.15687073006955,"Malawi","Mwanza","TA Nthache","221",65016.69693
"52",52,60688.8335211107,674.754284849131,662.507161540036,41.0174293774573,5.44220234965751,2942.61503366524,1.52729710783538,4326.86340888936,86.6825948924662,8.03312178806933,"Malawi","Mwanza","TA Nthache","221",65016.69693
"53",53,60426.8973022303,676.77375255224,666.766795140637,43.1640102298975,6.01031766908783,3195.34652093844,1.73823123948752,4588.79962776979,94.0928161897703,8.95906751202167,"Malawi","Mwanza","TA Nthache","221",65016.69693
"54",54,60164.5795285591,678.4568040243,670.258935076604,45.0987515772774,6.58745622050992,3449.74517610656,1.97027843575307,4851.117401441,101.546093679526,9.92985284529715,"Malawi","Mwanza","TA Nthache","221",65016.69693
"55",55,59902.169179991,679.672248350798,673.096316872007,46.8391865644938,7.16874620282661,3705.52757274456,2.22367927441617,5113.5277500091,109.034586209272,10.9410141049402,"Malawi","Mwanza","TA Nthache","221",65016.69693
"56",56,59639.9208682436,680.358599762526,675.327079378328,48.4015786030838,7.74997193379533,3962.44032490135,2.49850717740611,5375.7760617565,116.551300719024,11.9884601622761,"Malawi","Mwanza","TA Nthache","221",65016.69693
"57",57,59378.0725255888,680.487630572606,676.970485757315,49.8006118408487,8.32750315835269,4220.24348188663,2.7946911955138,5637.62440441127,124.089600578872,13.0684404034165,"Malawi","Mwanza","TA Nthache","221",65016.69693
"58",58,59116.853324388,680.047181548739,678.033836704355,51.0493664885802,8.89822632789644,4478.70295843882,3.11203610371443,5898.8436056121,131.642984052838,14.1775100984136,"Malawi","Mwanza","TA Nthache","221",65016.69693
"59",59,58856.4866422753,679.033775617529,678.519745900599,52.159432972154,9.4594794579456,4737.58761339176,3.45024038479549,6159.21028772479,139.205001565843,15.3124957664945,"Malawi","Mwanza","TA Nthache","221",65016.69693
"60",60,58597.191247659,677.448838519006,678.429814617016,53.1410722479044,10.0089904183581,4996.66805380551,3.80891273334275,6418.50568234114,146.769224377883,16.4704614637781,"Malawi","Mwanza","TA Nthache","221",65016.69693
"61",61,58339.1813738112,675.297168018671,677.766104234331,54.0033701099485,10.544827311326,5255.71650125656,4.1875852580926,6676.51555618894,154.329244125431,17.6486815578491,"Malawi","Mwanza","TA Nthache","221",65016.69693
"62",62,58082.6663221246,672.586105120269,676.532047959309,54.7543391410268,11.0653670578292,5514.50702622632,4.58572237077474,6933.03060787553,161.878681917348,18.8446243933187,"Malawi","Mwanza","TA Nthache","221",65016.69693
