UID,Lvl1,Lvl2,Lvl3,Lvl4,Hospitalization,Critical Care,Crit of Hosp,IFR,FR of Crit,FR of Hosp,Population,Age Band,Code
1,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City,0.000190787,9.53935E-06,0.05,4.17562E-05,1,0.218863183,662295.3586,Pediatrics,MW210
2,Sub-Saharan Africa,Malawi,Balaka,Balaka Town,0.000196144,9.80721E-06,0.05,4.24795E-05,1,0.216572612,18421.567,Pediatrics,MW31220
3,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City,0.000196517,9.82583E-06,0.05,4.25297E-05,1,0.216418044,432258.0512,Pediatrics,MW315
4,Sub-Saharan Africa,Malawi,Zomba City,Zomba City,0.000203706,1.01853E-05,0.05,4.35004E-05,1,0.213544438,55397.11092,Pediatrics,MW314
5,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City,0.000203291,1.01646E-05,0.05,4.34443E-05,1,0.213704878,109230.6001,Pediatrics,MW107
6,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma,0.000200461,1.0023E-05,0.05,4.30622E-05,1,0.214816152,2223.110487,Pediatrics,MW31020
7,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu,0.000180976,9.04881E-06,0.05,4.04318E-05,1,0.223409373,27465.69947,Pediatrics,MW31002
8,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma,0.000204038,1.02019E-05,0.05,4.35451E-05,1,0.213416887,970.9949365,Pediatrics,MW30420
9,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma,0.000202537,1.01269E-05,0.05,4.33425E-05,1,0.213997877,10928.19068,Pediatrics,MW10120
10,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma,0.000194724,9.73621E-06,0.05,4.22878E-05,1,0.217167488,12512.56169,Pediatrics,MW20820
11,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma,0.000214113,1.07056E-05,0.05,4.49052E-05,1,0.209726972,1972.259892,Pediatrics,MW20420
12,Sub-Saharan Africa,Malawi,Karonga,Karonga Town,0.0002,1E-05,0.05,4.3E-05,1,0.215,31823.0106,Pediatrics,MW10220
