UID,Lvl1,Lvl2,Lvl3,Lvl4,Hospitalization,Critical Care,Crit of Hosp,CFR,CFR of Crit,CFR of Hosp,Population,Code
1,Sub-Saharan Africa,Malawi,Lilongwe City,Lilongwe City,0.024470936,0.002681786,0.109590648,0.001551589,0.578565665,0.063405386,1353616.387,MW210
2,Sub-Saharan Africa,Malawi,Balaka,Balaka Town,0.025012749,0.003104989,0.124136242,0.001807141,0.582012028,0.072248786,34847.12886,MW31220
3,Sub-Saharan Africa,Malawi,Blantyre City,Blantyre City,0.025522982,0.003044083,0.119268303,0.001768094,0.580829942,0.069274602,884444.9143,MW315
4,Sub-Saharan Africa,Malawi,Zomba City,Zomba City,0.025723398,0.003070116,0.119351114,0.001783814,0.581024764,0.069345953,111948.7503,MW314
5,Sub-Saharan Africa,Malawi,Mzuzu City,Mzuzu City,0.025449747,0.003116495,0.122456813,0.00181294,0.58172411,0.07123608,220711.4854,MW107
6,Sub-Saharan Africa,Malawi,Chikwawa,Chikwawa Boma,0.028308303,0.004229523,0.149409277,0.002479458,0.586226465,0.087587672,4472.555945,MW31020
7,Sub-Saharan Africa,Malawi,Chikwawa,TA Lundu,0.025996021,0.003574602,0.137505727,0.00209133,0.585052452,0.080448063,50429.88897,MW31002
8,Sub-Saharan Africa,Malawi,Chiradzulu,Chiradzulu Boma,0.028382335,0.004138511,0.1458129,0.002427513,0.586566707,0.085528993,1934.802158,MW30420
9,Sub-Saharan Africa,Malawi,Chitipa,Chitipa Boma,0.025902891,0.003430689,0.132444258,0.002005367,0.584537643,0.077418654,20844.85995,MW10120
10,Sub-Saharan Africa,Malawi,Dedza,Dedza Boma,0.025537405,0.003197633,0.125213699,0.00186105,0.582008635,0.072875454,25081.89177,MW20820
11,Sub-Saharan Africa,Malawi,Dowa,Dowa Boma,0.027535067,0.003521647,0.1278968,0.002054266,0.583325321,0.074605442,4154.731128,MW20420
12,Sub-Saharan Africa,Malawi,Karonga,Karonga Town,0.026402363,0.003716123,0.140749651,0.002174489,0.585149852,0.082359637,60963.42849,MW10220
13,Sub-Saharan Africa,Malawi,Kasungu,Kasungu Boma,0.024330461,0.002693116,0.110689088,0.001560735,0.57952757,0.064147378,56791.39059,MW20120
14,Sub-Saharan Africa,Malawi,Kasungu,TA Kawamba/Kasungu National Park,0.027536891,0.004454796,0.161775577,0.002621189,0.588397018,0.095188267,42143.01886,MW20107
15,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba/Lake Malawi National Park,0.028473481,0.005176661,0.181806386,0.003053435,0.589846471,0.107237855,1593.923692,MW30111
16,Sub-Saharan Africa,Malawi,Chikwawa,STA Ndakwela/Lengwe National Park,0.031603332,0.00620563,0.196359998,0.003667547,0.591003065,0.11604936,2116.493098,MW31008
17,Sub-Saharan Africa,Malawi,Likoma,Likoma Boma,0.031603332,0.00620563,0.196359998,0.003667547,0.591003065,0.11604936,1,MW10620
18,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde/Liwonde National Park,0.029851665,0.005773534,0.193407448,0.003411192,0.590832566,0.114271419,12313.59091,MW30213
19,Sub-Saharan Africa,Malawi,Machinga,Liwonde Town,0.025099461,0.003271541,0.130343088,0.001909001,0.583517361,0.076057455,33892.16862,MW30222
20,Sub-Saharan Africa,Malawi,Thyolo,Luchenza Town,0.029072931,0.004775035,0.164243317,0.002806416,0.587726794,0.096530198,11443.08038,MW30721
21,Sub-Saharan Africa,Malawi,Machinga,Machinga Boma,0.028716204,0.005345698,0.186156159,0.00315493,0.590181041,0.109865836,1113.560372,MW30220
22,Sub-Saharan Africa,Malawi,Chikwawa,TA Kasisi/Majete Game Reserve Chikwawa,0.030432537,0.005503339,0.180837338,0.003246339,0.589885284,0.106673285,38585.86983,MW31006
23,Sub-Saharan Africa,Malawi,Mangochi,Mangochi Town,0.023909455,0.00299468,0.125250877,0.001743219,0.582105278,0.072909196,55157.40306,MW30120
24,Sub-Saharan Africa,Malawi,Mchinji,Mchinji Boma,0.024839277,0.002896425,0.116606667,0.001681809,0.580649946,0.067707655,28231.06064,MW20720
25,Sub-Saharan Africa,Malawi,Mangochi,Monkey Bay Urban,0.025289412,0.003151517,0.124618051,0.001833683,0.581841455,0.072507948,11960.52305,MW30121
26,Sub-Saharan Africa,Malawi,Mulanje,Mulanje Boma,0.027216237,0.00376174,0.138216762,0.002199219,0.584628181,0.080805414,12203.55618,MW30820
27,Sub-Saharan Africa,Malawi,Mulanje,TA Nkanda/Mulanje Mountain Reserve,0.03185694,0.006280307,0.197140948,0.003709617,0.590674381,0.116446107,126885.6487,MW30805
28,Sub-Saharan Africa,Malawi,Nsanje,Mwabvi Game Reserve,0.029398979,0.005721033,0.194599726,0.00338301,0.591328483,0.115072361,9379.209388,MW31110
29,Sub-Saharan Africa,Malawi,Mwanza,Mwanza Boma,0.024302351,0.002777546,0.114291264,0.001609981,0.579641556,0.066247966,22163.66259,MW30620
30,Sub-Saharan Africa,Malawi,Mzimba,Mzimba Boma,0.026551675,0.003631712,0.13677902,0.002122548,0.584448279,0.079940263,28193.59338,MW10520
31,Sub-Saharan Africa,Malawi,Neno,Neno Boma,0.029175988,0.005151386,0.176562514,0.003036649,0.589481863,0.1040804,2117.491452,MW31320
32,Sub-Saharan Africa,Malawi,Nkhata Bay,Nkhatabay Boma,0.030779668,0.005938148,0.192924355,0.00351054,0.591184398,0.114053869,11540.23199,MW10320
33,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Boma,0.028941598,0.004816829,0.166432718,0.002832255,0.587991575,0.097861036,29045.4809,MW20220
34,Sub-Saharan Africa,Malawi,Nkhotakota,Nkhotakota Game Reserve,0.027229347,0.004886349,0.179451575,0.002885118,0.590444557,0.105956205,597.4914125,MW20207
35,Sub-Saharan Africa,Malawi,Nsanje,Nsanje Boma,0.029120006,0.005037307,0.172984405,0.002967059,0.589016892,0.101890737,24146.58287,MW31120
36,Sub-Saharan Africa,Malawi,Ntcheu,Ntcheu Boma,0.024931971,0.002961188,0.1187707,0.001719278,0.580604166,0.068958763,20454.11657,MW20920
37,Sub-Saharan Africa,Malawi,Ntchisi,Ntchisi Boma,0.026130084,0.003313252,0.12679836,0.001930552,0.58267597,0.073882357,8498.626276,MW20320
38,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma,0.030049555,0.00572242,0.19043276,0.003377789,0.59027287,0.112407292,7470.055295,MW30920
39,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma,0.026470099,0.003591341,0.135675405,0.002099005,0.58446274,0.079297219,17673.53922,MW10420
40,Sub-Saharan Africa,Malawi,Salima,Salima Town,0.02564847,0.003293544,0.128410926,0.001917423,0.582176222,0.074757787,37262.91597,MW20520
41,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza,0.030582986,0.005446107,0.178076366,0.003213281,0.59001427,0.105067597,174873.4604,MW20402
42,Sub-Saharan Africa,Malawi,Machinga,TA Chamba,0.030016068,0.005812935,0.193660777,0.003433705,0.590700727,0.114395562,29964.68673,MW30204
43,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti,0.03212129,0.006191469,0.192752807,0.00365585,0.590465744,0.113813929,21515.40131,MW20905
44,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka,0.030959111,0.006079154,0.196360756,0.003596837,0.59166732,0.116180242,2926.349074,MW10406
45,Sub-Saharan Africa,Malawi,Dedza,TA Chauma,0.033647513,0.006907468,0.205289114,0.004088398,0.591880762,0.121506677,28367.41561,MW20805
46,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo,0.027635091,0.005210682,0.188553098,0.003077245,0.590564778,0.111352818,86602.08433,MW30207
47,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo,0.031735184,0.006272256,0.197643601,0.003707321,0.591066553,0.116820522,87244.82939,MW20802
48,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko,0.029432555,0.00522525,0.177533016,0.003081484,0.589729368,0.104696433,86265.61455,MW20305
49,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe,0.028959246,0.004766418,0.164590559,0.002806158,0.588735201,0.096900256,49378.49972,MW20109
50,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa,0.03367301,0.006685972,0.198555811,0.003954149,0.591409731,0.117427839,9199.474451,MW20104
51,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele,0.032348269,0.006593825,0.203838584,0.003902395,0.591825678,0.120636908,63179.79858,MW20605
52,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo,0.029106556,0.005554434,0.190831044,0.003279403,0.590411736,0.112668888,35797.09811,MW30209
53,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe,0.029542278,0.005810921,0.196698487,0.003435437,0.591203556,0.116288845,152293.3819,MW30106
54,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe,0.027596547,0.004539936,0.164511009,0.002673377,0.588857854,0.0968736,88692.0088,MW20706
55,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza,0.032624683,0.006994694,0.214398829,0.004144466,0.592515725,0.127034678,12147.4793,MW10307
56,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya,0.031102698,0.005893473,0.189484292,0.003479139,0.590337748,0.11185973,160060.8532,MW20908
57,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali,0.032378861,0.006320316,0.195198834,0.003735687,0.591060122,0.115374246,23471.58337,MW10504
58,Sub-Saharan Africa,Malawi,Mulanje,TA Juma,0.031612952,0.006057828,0.191624886,0.003576246,0.590351205,0.113125983,110963.9357,MW30806
59,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu,0.030092504,0.005694094,0.189219674,0.003364691,0.590908911,0.111811591,12845.34303,MW10405
60,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila,0.028670054,0.005139828,0.179275148,0.003033568,0.590208116,0.105809647,28689.58244,MW20202
61,Sub-Saharan Africa,Malawi,Salima,TA Kambalame,0.030176232,0.005880747,0.194880112,0.003478228,0.591460129,0.115263816,26131.62364,MW20506
62,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri,0.029106708,0.005433918,0.18668954,0.003208926,0.590536296,0.11024695,46073.41951,MW20504
63,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza,0.030644856,0.005623069,0.183491431,0.003317872,0.590046468,0.108268471,44044.33732,MW20808
64,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande,0.032270669,0.006377888,0.197637293,0.003773239,0.591612581,0.116924709,97078.74475,MW10503
65,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe,0.030229898,0.005532405,0.183011053,0.003265841,0.590311146,0.108033465,129615.9415,MW20403
66,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere,0.028166237,0.004710249,0.16723032,0.002775847,0.589320629,0.098552277,59086.12468,MW10508
67,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule,0.033808542,0.006661327,0.197030883,0.00393609,0.590886836,0.116422955,68503.93201,MW30706
68,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema,0.028490597,0.005006154,0.175712492,0.002948997,0.589074407,0.103507732,95297.1442,MW30802
69,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa,0.028119903,0.004512532,0.16047467,0.002653878,0.588112915,0.094377226,39170.34024,MW20106
70,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja,0.030499608,0.005521271,0.181027594,0.003260147,0.590470418,0.106891439,56852.0085,MW20103
71,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko,0.030466067,0.006237666,0.204741417,0.003692685,0.591997875,0.121206484,11959.03687,MW31109
72,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala,0.03272534,0.006533143,0.199635606,0.003860578,0.590921956,0.117969063,118752.752,MW20904
73,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda,0.0312215,0.005869036,0.187980605,0.003468097,0.590914196,0.111080408,23722.39312,MW10304
74,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere,0.030021015,0.005362274,0.178617348,0.003162494,0.589767352,0.10534268,133090.2397,MW20702
75,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela,0.033061277,0.006970302,0.210829791,0.004127204,0.592112582,0.124834972,61214.17984,MW30703
76,Sub-Saharan Africa,Malawi,Nsanje,TA Mbenje,0.030146827,0.005852045,0.19411811,0.003456871,0.59071155,0.11466781,66056.7314,MW31106
77,Sub-Saharan Africa,Malawi,Zomba,TA Mbiza,0.031462417,0.00602426,0.19147481,0.00355693,0.590434239,0.113053284,188240.227,MW30305
78,Sub-Saharan Africa,Malawi,Mangochi,TA Mbwana Nyambi,0.029653507,0.005885125,0.198463022,0.003480081,0.591335202,0.117358171,116280.2692,MW30105
79,Sub-Saharan Africa,Malawi,Mchinji,TA Mduwa,0.028517378,0.004875404,0.170962573,0.002872688,0.589220435,0.100734642,116713.6275,MW20704
80,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Kondowe,0.030779668,0.005938148,0.192924355,0.00351054,0.591184398,0.114053869,2102.362734,MW10311
81,Sub-Saharan Africa,Malawi,Dowa,TA Mkukula,0.029215848,0.005006603,0.17136601,0.002949088,0.589039624,0.10094137,118457.0334,MW20405
82,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mkumbira,0.030779668,0.005938148,0.192924355,0.00351054,0.591184398,0.114053869,16564.68809,MW10308
83,Sub-Saharan Africa,Malawi,Machinga,TA Mlomba,0.028400829,0.005216359,0.183669245,0.003078252,0.590115095,0.108385994,68486.76494,MW30206
84,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mphonde,0.028765203,0.005331077,0.185330777,0.003148713,0.590633598,0.109462583,36242.98279,MW20204
85,Sub-Saharan Africa,Malawi,Thyolo,TA Mphuka,0.0314485,0.005905364,0.187778885,0.003487477,0.590560892,0.110894866,82409.19747,MW30705
86,Sub-Saharan Africa,Malawi,Dowa,TA Mponela,0.028800394,0.004779067,0.165937539,0.002811434,0.588281075,0.097617914,78561.85357,MW20407
87,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,0.029030249,0.005370219,0.184987009,0.003166862,0.589708212,0.109088358,30122.43266,MW30205
88,Sub-Saharan Africa,Malawi,Salima,TA Msosa,0.028717806,0.005160294,0.179689685,0.003043317,0.589756558,0.10597317,7393.146243,MW20510
89,Sub-Saharan Africa,Malawi,Lilongwe,TA Mtema,0.03004992,0.005450436,0.181379399,0.00321554,0.589960148,0.107006617,77593.50562,MW20609
90,Sub-Saharan Africa,Malawi,Rumphi,TA Mwahenga,0.029965698,0.005377817,0.179465755,0.003171621,0.589760067,0.105841736,16175.0506,MW10403
91,Sub-Saharan Africa,Malawi,Karonga,TA Mwakaboko,0.028798725,0.005101145,0.177130923,0.003008474,0.589764488,0.104465528,24485.11887,MW10202
92,Sub-Saharan Africa,Malawi,Rumphi,TA Mwalweni,0.029624674,0.005298247,0.178845762,0.0031275,0.590289532,0.105570781,21256.82915,MW10404
93,Sub-Saharan Africa,Malawi,Rumphi,TA Mwankhunikira,0.029474317,0.005098424,0.172978518,0.003004611,0.589321484,0.101939957,30476.27673,MW10407
94,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwansambo,0.029030919,0.00525982,0.181179931,0.003101387,0.58963757,0.106830494,35720.17519,MW20206
95,Sub-Saharan Africa,Malawi,Salima,TA Mwanza,0.02941966,0.005383156,0.182978194,0.003174712,0.58974912,0.107911229,40168.71759,MW20508
96,Sub-Saharan Africa,Malawi,Karonga,TA Mwirang'ombe,0.028206265,0.004820374,0.170897262,0.002840774,0.589326438,0.100714275,42130.0895,MW10205
97,Sub-Saharan Africa,Malawi,Mangochi,TA Namabvi,0.029316151,0.005711831,0.194835643,0.003375305,0.590932181,0.115134651,37972.50264,MW30109
98,Sub-Saharan Africa,Malawi,Machinga,TA Ngokwe,0.026922816,0.004805397,0.178487908,0.002833425,0.589633892,0.10524252,35668.86412,MW30208
99,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,0.027881002,0.004410398,0.158186492,0.002591803,0.587657466,0.092959473,50564.00793,MW20613
100,Sub-Saharan Africa,Malawi,Kasungu,TA Njombwa,0.028417338,0.004617895,0.162502736,0.002717046,0.588373187,0.095612253,67366.2561,MW20108
101,Sub-Saharan Africa,Malawi,Ntchisi,TA Nthondo,0.029367167,0.005348987,0.182141758,0.003155124,0.58985449,0.107437134,28838.76381,MW20303
102,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Nyaluwanga,0.028797823,0.004956954,0.172129469,0.002922769,0.589629969,0.101492693,11007.0091,MW10310
103,Sub-Saharan Africa,Malawi,Kasungu,TA Simlemba,0.030104932,0.005368331,0.178320663,0.003167904,0.590109659,0.105228745,39647.34765,MW20102
104,Sub-Saharan Africa,Malawi,Machinga,TA Sitola,0.030035635,0.005909437,0.19674752,0.003491979,0.590915791,0.116261217,52182.19745,MW30202
105,Sub-Saharan Africa,Malawi,Thyolo,STA Thukuta,0.032352175,0.006671915,0.206227707,0.003947618,0.591676926,0.122020176,23217.67516,MW30702
106,Sub-Saharan Africa,Malawi,Lilongwe,TA Tsabango,0.025915947,0.003602063,0.138990206,0.00210655,0.584817709,0.081283934,73435.91209,MW20611
107,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Zilakoma,0.029312522,0.005467701,0.18653125,0.003229638,0.590675574,0.110179453,12872.82739,MW10305
108,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Boghoyo,0.030779668,0.005938148,0.192924355,0.00351054,0.591184398,0.114053869,1134.188416,MW10313
109,Sub-Saharan Africa,Malawi,Thyolo,TA Bvumbwe,0.030432409,0.005344795,0.175628393,0.003149176,0.589204284,0.103481001,126405.4762,MW30710
110,Sub-Saharan Africa,Malawi,Lilongwe,TA Chadza,0.030697121,0.00577322,0.188070392,0.003409322,0.590540822,0.111063244,175833.45,MW20601
111,Sub-Saharan Africa,Malawi,Ntcheu,TA Chakhumbira,0.031786321,0.0059677,0.187744275,0.003522263,0.590221168,0.110810645,33121.27754,MW20907
112,Sub-Saharan Africa,Malawi,Thyolo,TA Changata,0.033697987,0.007068225,0.209752151,0.00418414,0.591964744,0.124165878,55182.59931,MW30704
