"","x"
"1",0.015625
"2",0.01875
"3",0.056875
"4",0.1009375
"5",0.0825
"6",0.061875
"7",0.065625
"8",0.0675
"9",0.1315625
"10",0.103125
"11",0.1578125
"12",0.1278125
"13",0.109375
"14",0.1109375
"15",0.12625
"16",0.15875
"17",0.1521875
"18",0.1896875
"19",0.1778125
"20",0.174375
"21",0.176875
"22",0.153125
"23",0.2990625
"24",0.231875
"25",0.2065625
"26",0.3475
"27",0.169375
"28",0.205
"29",0.193125
"30",0.2125
"31",0.206875
"32",0.2403125
"33",0.2334375
"34",0.2253125
"35",0.2221875
"36",0.201875
"37",0.1921875
"38",0.1625
"39",0.1978125
"40",0.18125
"41",0.153125
"42",0.124375
"43",0.0853125
"44",0.255625
"45",0.1296875
"46",0.176875
"47",0.1403125
"48",0.123125
"49",0.11125
"50",0.09875
"51",0.1196875
"52",0.0815625
"53",0.13
"54",0.1234375
"55",0.11625
"56",0.1209375
"57",0.10625
"58",0.123125
"59",0.08875
"60",0.1509375
"61",0.13
"62",0.13125
"63",0.1140625
"64",0.09125
"65",0.0725
"66",0.0246875
"67",0.0671875
"68",0.2084375
"69",0.2084375
"70",0.2084375
"71",0.2084375
"72",0.2084375
"73",0.2084375
"74",0.2084375
"75",0.2084375
"76",0.2084375
"77",0.2084375
"78",0.2084375
"79",0.2084375
"80",0.2084375
"81",0.2084375
"82",0.2084375
"83",0.2084375
"84",0.2084375
"85",0.2084375
"86",0.2084375
"87",0.2084375
"88",0.2084375
"89",0.2084375
"90",0.2084375
"91",0.2084375
"92",0.2084375
"93",0.2084375
"94",0.2084375
"95",0.2084375
"96",0.2084375
"97",0.2084375
"98",0.2084375
"99",0.2084375
"100",0.2084375
"101",0.2084375
"102",0.2084375
"103",0.2084375
"104",0.2084375
"105",0.2084375
"106",0.2084375
"107",0.2084375
"108",0.2084375
"109",0.2084375
"110",0.2084375
"111",0.2084375
"112",0.2084375
"113",0.2084375
"114",0.2084375
"115",0.2084375
"116",0.2084375
"117",0.2084375
"118",0.2084375
"119",0.2084375
"120",0.2084375
"121",0.2084375
"122",0.2084375
"123",0.2084375
"124",0.2084375
"125",0.2084375
"126",0.2084375
"127",0.2084375
"128",0.2084375
"129",0.2084375
"130",0.2084375
"131",0.2084375
"132",0.2084375
"133",0.2084375
"134",0.2084375
"135",0.2084375
"136",0.2084375
"137",0.2084375
"138",0.2084375
"139",0.2084375
"140",0.2084375
"141",0.2084375
"142",0.2084375
"143",0.2084375
"144",0.2084375
"145",0.2084375
"146",0.2084375
"147",0.2084375
"148",0.2084375
"149",0.2084375
"150",0.2084375
"151",0.2084375
"152",0.2084375
"153",0.2084375
"154",0.2084375
"155",0.2084375
"156",0.2084375
"157",0.2084375
"158",0.2084375
"159",0.2084375
"160",0.2084375
"161",0.2084375
"162",0.2084375
"163",0.2084375
"164",0.2084375
"165",0.2084375
"166",0.2084375
"167",0.2084375
"168",0.2084375
"169",0.2084375
"170",0.2084375
"171",0.2084375
"172",0.2084375
"173",0.2084375
"174",0.2084375
"175",0.2084375
"176",0.2084375
"177",0.2084375
"178",0.2084375
"179",0.2084375
"180",0.2084375
"181",0.2084375
"182",0.2084375
"183",0.2084375
"184",0.2084375
"185",0.2084375
"186",0.2084375
"187",0.2084375
"188",0.2084375
"189",0.2084375
"190",0.2084375
"191",0.2084375
"192",0.2084375
"193",0.2084375
"194",0.2084375
"195",0.2084375
"196",0.2084375
"197",0.2084375
"198",0.2084375
"199",0.2084375
"200",0.2084375
"201",0.2084375
"202",0.2084375
"203",0.2084375
"204",0.2084375
"205",0.2084375
"206",0.2084375
"207",0.2084375
"208",0.2084375
"209",0.2084375
"210",0.2084375
"211",0.2084375
"212",0.2084375
"213",0.2084375
"214",0.2084375
"215",0.2084375
"216",0.2084375
"217",0.2084375
"218",0.2084375
"219",0.2084375
"220",0.2084375
"221",0.2084375
"222",0.2084375
"223",0.2084375
"224",0.2084375
"225",0.2084375
"226",0.2084375
"227",0.2084375
"228",0.2084375
"229",0.2084375
"230",0.2084375
"231",0.2084375
"232",0.2084375
"233",0.2084375
"234",0.2084375
"235",0.2084375
"236",0.2084375
"237",0.2084375
"238",0.2084375
"239",0.2084375
"240",0.2084375
"241",0.2084375
"242",0.2084375
"243",0.2084375
"244",0.2084375
"245",0.2084375
"246",0.2084375
"247",0.2084375
"248",0.2084375
"249",0.2084375
"250",0.2084375
"251",0.2084375
"252",0.2084375
"253",0.2084375
"254",0.2084375
"255",0.2084375
"256",0.2084375
"257",0.2084375
"258",0.2084375
"259",0.2084375
"260",0.2084375
"261",0.2084375
"262",0.2084375
"263",0.2084375
"264",0.2084375
"265",0.2084375
"266",0.2084375
"267",0.2084375
"268",0.2084375
"269",0.2084375
"270",0.2084375
"271",0.2084375
"272",0.2084375
"273",0.2084375
"274",0.2084375
"275",0.2084375
"276",0.2084375
"277",0.2084375
"278",0.2084375
"279",0.2084375
"280",0.2084375
"281",0.2084375
"282",0.2084375
"283",0.2084375
"284",0.2084375
"285",0.2084375
"286",0.2084375
"287",0.2084375
"288",0.2084375
"289",0.2084375
"290",0.2084375
"291",0.2084375
"292",0.2084375
"293",0.2084375
"294",0.2084375
"295",0.2084375
"296",0.2084375
"297",0.2084375
"298",0.2084375
"299",0.2084375
"300",0.2084375
"301",0.2084375
"302",0.2084375
"303",0.2084375
"304",0.2084375
"305",0.2084375
"306",0.2084375
"307",0.2084375
"308",0.2084375
"309",0.2084375
"310",0.2084375
"311",0.2084375
"312",0.2084375
"313",0.2084375
"314",0.2084375
"315",0.2084375
"316",0.2084375
"317",0.2084375
"318",0.2084375
"319",0.2084375
"320",0.2084375
"321",0.2084375
"322",0.2084375
"323",0.2084375
"324",0.2084375
"325",0.2084375
"326",0.2084375
"327",0.2084375
"328",0.2084375
"329",0.2084375
"330",0.2084375
"331",0.2084375
"332",0.2084375
"333",0.2084375
"334",0.2084375
"335",0.2084375
"336",0.2084375
"337",0.2084375
"338",0.2084375
"339",0.2084375
"340",0.2084375
"341",0.2084375
"342",0.2084375
"343",0.2084375
"344",0.2084375
"345",0.2084375
"346",0.2084375
"347",0.2084375
"348",0.2084375
"349",0.2084375
"350",0.2084375
"351",0.2084375
"352",0.2084375
"353",0.2084375
"354",0.2084375
"355",0.2084375
"356",0.2084375
"357",0.2084375
"358",0.2084375
"359",0.2084375
"360",0.2084375
"361",0.2084375
"362",0.2084375
"363",0.2084375
"364",0.2084375
"365",0.2084375
